Sno,Candidate∇,Adilabad,Party,Criminal Case,Education,Total Assets,Liabilities
348,Prabodh Panda,Muzaffarnagar,CPI,0,Graduate,"Rs 22,30,746","Rs 3,62,156"
349,PRADEEP KUMAR JAIN,Muzaffarpur,INC,2,Post Graduate,"Rs 33,43,719",Rs 0
350,Pradeep Kumar Majhi,Mysore,INC,0,Graduate,"Rs 8,50,000","Rs 3,45,830"
351,PRADEEP KUMAR SINGH,Nabarangpur,BJP,3,10th Pass,"Rs 2,57,014","Rs 7,64,726"
352,PRADEEP TAMTA,Nagapattinam,INC,0,Post Graduate,"Rs 15,90,000",Rs 0
353,Pralhad Joshi,Nagarkurnool,BJP,0,Graduate,"Rs 1,44,12,674","Rs 31,82,357"
354,PRANAB MUKHERJEE,Nagaur,INC,0,Doctorate,"Rs 2,69,20,479",Rs 0
355,Prasanna Kumar Patasani,Nagina,BJD,0,Post Graduate,"Rs 14,77,178",Rs 0
356,Prasanta Kumar Majumdar,Nagpur,RSP,0,Post Graduate,"Rs 16,76,454",Rs 0
357,PRATIK PRAKASHBAPU PATIL,Nainital-Udhamsingh Nagar,INC,1,Others,"Rs 2,21,37,000","Rs 13,58,000"
358,PRAVEEN SINGH ARON,Nalanda,INC,1,Graduate Professional,"Rs 28,80,19,293","Rs 3,26,22,036"
359,PREM DAS RAI,Nalgonda,SDF,0,Post Graduate,"Rs 1,85,03,294","Rs 8,41,835"
360,PREMDAS,Namakkal,SP,1,Graduate,"Rs 42,28,828",Rs 0
361,PRENEET KAUR,Nanded,INC,0,Graduate,"Rs 42,30,43,438",Rs 0
362,Prof K V Thomas,Nandurbar,INC,0,Post Graduate,"Rs 1,50,41,664","Rs 22,09,490"
363,Pulin Bihari Baske,Nandyal,CPM,0,Graduate Professional,"Rs 14,84,298",Rs 0
364,PURNAMASI RAM,Narasaraopet,JD(U),1,10th Pass,"Rs 34,21,562","Rs 5,33,024"
365,R. K. SINGH PATEL,Narsapuram,SP,1,Graduate,"Rs 3,41,07,955",Rs 0
366,R.DHRUVANARAYANA,Nashik,INC,0,Post Graduate,"Rs 1,67,29,619","Rs 38,96,431"
367,RADHA MOHAN SINGH,Navsari,BJP,0,Graduate,"Rs 76,29,444","Rs 1,84,731"
368,RADHEY MOHAN SINGH,Nawada,SP,1,Graduate,"Rs 2,20,62,609","Rs 17,52,447"
369,RAGHUVANSH PRASAD SINGH,Nellore,RJD,0,Doctorate,"Rs 61,69,238","Rs 2,14,137"
370,Raghuveer singh,New Delhi,INC,0,Graduate,"Rs 67,53,883","Rs 17,50,000"
371,RAHUL GANDHI,Nilgiris,INC,0,Post Graduate,"Rs 2,32,74,706","Rs 23,35,000"
372,RAJ KUMARI CHAUHAN,Nizamabad,BSP,0,12th Pass,"Rs 3,40,34,506",Rs 0
373,RAJA A,North East Delhi,DMK,0,Graduate Professional,"Rs 1,42,51,669","Rs 1,66,862"
374,Rajaiah Siricilla,North Goa,INC,0,Graduate,"Rs 42,24,704","Rs 14,61,167"
375,RAJARAM PAL,North West Delhi,INC,0,Graduate Professional,"Rs 44,00,000","Rs 8,38,099"
376,RAJEN GOHAIN,Nowgong,BJP,1,Graduate Professional,"Rs 1,02,10,891","Rs 7,40,165"
377,RAJENDRA AGARWAL,Ongole,BJP,0,Post Graduate,"Rs 21,21,825","Rs 3,15,620"
378,RAJENDRAN C,Osmanabad,ADMK,0,Graduate Professional,"Rs 2,79,66,678",Rs 0
379,RAJENDRASINH GHANSHYAMSINH RANA,Outer Manipur,BJP,0,Graduate Professional,"Rs 55,08,711",Rs 0
380,RAJESH NANDINI SINGH,Palakkad,INC,0,Graduate,"Rs 1,14,75,000","Rs 2,00,000"
381,RAJKUMARI RATNA SINGH,Palamau,INC,5,Graduate,"Rs 67,82,70,725","Rs 10,02,000"
382,RAJNATH SINGH,Palghar,BJP,1,Post Graduate,"Rs 1,49,02,703",Rs 0
383,RAKESH PANDEY,Pali,BSP,3,8th Pass,"Rs 16,40,78,904",Rs 0
384,RAKESH SACHAN,Panchmahal,SP,7,Post Graduate,"Rs 4,09,55,595",Rs 0
385,RAKESH SINGH,Parbhani,BJP,0,Graduate,"Rs 92,31,699","Rs 10,545"
386,RAM CHANDRA DOME,Paschim Champaran,CPM,0,Graduate Professional,"Rs 7,39,396",Rs 0
387,RAM SINGH KASWAN,Pataliputra,BJP,0,Graduate Professional,"Rs 2,74,03,097",Rs 0
388,RAM SUNDAR DAS,Patan,JD(U),0,10th Pass,"Rs 27,96,489","Rs 11,16,705"
389,RAMA DEVI,Pathanamthitta,BJP,5,Graduate Professional,"Rs 6,94,29,234","Rs 8,83,367"
390,RAMAKANT YADAV,Patiala,BJP,11,10th Pass,"Rs 2,44,94,000",Rs 0
391,RAMASHANKAR RAJBHAR,Patna Sahib,BSP,0,Graduate,"Rs 23,05,000",Rs 0
392,RAMASUBBU S,Peddapalle,INC,0,Post Graduate,"Rs 3,47,06,447","Rs 18,07,386"
393,RAMEN DEKA,Perambalur,BJP,0,Graduate,"Rs 75,79,967",Rs 0
394,RAMESH KUMAR,Phulpur,INC,0,10th Pass,"Rs 2,58,45,997","Rs 3,29,812"
395,Ramesh Rathod,Pilibhit,TDP,2,12th Pass,"Rs 34,10,000","Rs 8,15,241"
396,RAMKISHUN,Pollachi,SP,10,Graduate Professional,"Rs 46,72,785",Rs 0
397,RAMSINHBHAI PATALBHAI RATHAVA,Pondicherry,BJP,0,10th Pass,"Rs 1,05,01,785","Rs 66,24,317"
398,RANEE NARAH,Ponnani,INC,1,Graduate,"Rs 5,39,76,290",Rs 0
399,RANJAN PRASAD YADAV,Porbandar,JD(U),1,Doctorate,"Rs 1,53,19,000",Rs 0
400,RATAN SINGH,Pratapgarh,INC,0,Graduate Professional,"Rs 1,19,67,191","Rs 3,35,314"
401,RATNA DE,Pune,AITC,0,Graduate Professional,"Rs 87,30,448",Rs 0
402,RAVINDRA KUMAR PANDEY,Puri,BJP,1,Graduate,"Rs 3,27,22,762","Rs 33,17,725"
403,RAVNEET SINGH,Purnia,INC,0,12th Pass,"Rs 2,18,21,443","Rs 3,00,000"
404,Rudra Madhab Ray,Purulia,BJD,0,Graduate,"Rs 43,87,647","Rs 5,66,588"
405,S Pakkirappa,Purvi Champaran,BJP,1,5th Pass,"Rs 77,36,230",Rs 0
406,S.P.Y.REDDY,Rae bareli,INC,1,Graduate Professional,"Rs 9,28,21,000",Rs 0
407,Sabbam Hari,Raichur,INC,0,12th Pass,"Rs 8,50,32,286","Rs 4,50,000"
408,SACHIN PILOT,Raigad,INC,0,Post Graduate,"Rs 4,64,89,558",Rs 0
409,SADASHIVRAO MANDLIK DADOBA,Raiganj,IND,0,Graduate,"Rs 1,15,52,012",Rs 0
410,SAJJAN SINGH VERMA,Raigarh,INC,0,Post Graduate,"Rs 2,70,42,325","Rs 11,04,525"
411,SAKTI MOHAN MALIK,Rajahmundry,CPM,0,Post Graduate,"Rs 24,15,310","Rs 1,08,000"
412,SALMAN KHURSHEED,Rajampet,INC,0,Post Graduate,"Rs 2,61,40,421","Rs 47,65,556"
413,SAMBASIVA RAO RAYAPATI,Rajgarh,INC,3,Graduate,"Rs 14,71,43,582","Rs 4,52,04,329"
414,SAMEER BHUJBAL,Rajkot,NCP,0,10th Pass,"Rs 6,66,60,039",Rs 0
415,SANDEEP DIKSHIT,Rajmahal,INC,0,Post Graduate,"Rs 1,81,46,428","Rs 19,80,887"
416,Sanjay Bhoi,Rajnandgaon,INC,0,Graduate,"Rs 17,00,000",Rs 0
417,SANJAY BRIJKISHORLAL NIRUPAM,Rajsamand,INC,5,Graduate,"Rs 2,24,17,801","Rs 37,27,000"
418,SANJAY DINA PATIL,Ramanathapuram,NCP,2,Graduate,"Rs 43,23,503",Rs 0
419,SANJAY SINGH CHAUHAN,Rampur,RLD,0,Graduate Professional,"Rs 3,53,52,625","Rs 52,54,245"
420,SANKAR ADHI,Ramtek,DMK,1,Graduate Professional,"Rs 1,78,37,266","Rs 9,86,068"
421,SANSUMA KHUNGGUR BWISWMUTHIARY,Ranaghat,BPF,0,Graduate,"Rs 49,54,903","Rs 4,64,860"
422,SANTOSH CHOWDHARY,Ranchi,INC,0,Graduate Professional,"Rs 2,68,16,253",Rs 0
423,SARIKA SINGH,Ratlam,RLD,0,Post Graduate,"Rs 8,25,272",Rs 0
424,SAROJ PANDEY,Ratnagiri Sindhudurg,BJP,0,Post Graduate,"Rs 3,79,787","Rs 6,67,787"
425,SARVEY SATYANARAYANA,Raver,INC,1,Graduate Professional,"Rs 1,01,12,521","Rs 1,16,848"
426,SATABDI ROY (BANERJEE),Rewa,AITC,0,12th Pass,"Rs 1,31,48,000","Rs 5,26,321"
427,SATPAL MAHARAJ,Robertsganj,INC,0,12th Pass,"Rs 11,21,36,795",Rs 0
428,SAUGATA RAY,Rohtak,AITC,0,Post Graduate,"Rs 39,71,408",Rs 0
429,SEEMA UPADHAYAY,Sabarkantha,BSP,0,Graduate,"Rs 2,65,45,096","Rs 15,95,708"
430,SELJA,Saharanpur,INC,0,Post Graduate,"Rs 4,67,11,386",Rs 0
431,SEMMALAI S,Salem,ADMK,2,Graduate Professional,"Rs 4,62,20,339","Rs 59,000"
432,SHAILENDRA KUMAR,Salempur,SP,0,Graduate,"Rs 2,08,00,327",Rs 0
433,SHARAD YADAV,Samastipur,JD(U),1,Graduate Professional,"Rs 1,41,07,050",Rs 0
434,SHARIEF UD DIN SHARIQ,Sambalpur,JKN,0,Post Graduate,"Rs 1,19,55,000","Rs 13,10,000"
435,Shashi Tharoor,Sambhal,INC,1,Doctorate,"Rs 21,24,42,472",Rs 0
436,SHATRUGHAN SINHA,Sangli,BJP,0,Graduate,"Rs 15,00,33,976","Rs 2,58,78,099"
437,SHEESHRAM OLA,Sangrur,INC,0,10th Pass,"Rs 61,01,621","Rs 1,80,965"
