PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Criminal Case,Education,,
['Bardoli', '23', 'ST', 'Gujarat', 'Vasava Parbhubhai Nagarbhai', 'Bharatiya Janta Party', '1614106', '1206179', '74.7 %', '123884', '10.3%', '1', 'Others',,
['Bareilly', '25', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Santosh Kumar Gangwar', 'Bharatiya Janta Party', '1664081', '1017891', '61.2 %', '240685', '23.6%', '0', 'Graduate Professional',,
['Bargarh', '1', 'GEN', 'Orissa', 'Prabhas Kumar Singh', 'Biju Janata Dal', '1430717', '1123301', '78.5 %', '11178', '1.0%', '0', 'Doctorate',,
['Barmer', '17', 'GEN', 'Rajasthan', 'Col. Sona Ram', 'Bharatiya Janta Party', '1677582', '1219119', '72.7 %', '87461', '7.2%', '1', 'Graduate Professional',,
['Barpeta', '6', 'GEN', 'Assam', 'Siraj Uddin Ajmal', 'All India United Democratic Front', '1430175', '1205863', '84.3 %', '42341', '3.5%', '0', 'Graduate',,
['Basirhat', '18', 'GEN', 'West Bengal', 'Idris Ali', 'All India Trinamool Congress', '1490596', '1273771', '85.5 %', '109659', '8.6%', '9', 'Graduate Professional',,
['Bastar', '10', 'ST', 'Chhattisgarh', 'Dinesh Kashyap', 'Bharatiya Janta Party', '1298059', '769913', '59.3 %', '124359', '16.2%', '1', 'Post Graduate',,
['Basti', '61', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Harish Chandra Alias Harish Dwivedi', 'Bharatiya Janta Party', '1847613', '1048534', '56.8 %', '33562', '3.2%', '2', 'Post Graduate',,
['Beed', '39', 'GEN', 'Maharashtra', 'Munde Gopinathrao Pandurang', 'Bharatiya Janta Party', '1792650', '1232202', '68.7 %', '136454', '11.1%', '3', 'Graduate Professional',817']],
['Begusarai', '24', 'GEN', 'Bihar [2000 Onwards]', 'Bhola Singh', 'Bharatiya Janta Party', '1778759', '1077855', '60.6 %', '58335', '5.4%', '0', 'Doctorate',,
['Belgaum', '2', 'GEN', 'Karnataka', 'Angadi Suresh Channabasappa', 'Bharatiya Janta Party', '1581017', '1078547', '68.2 %', '75860', '7.0%', '1', 'Graduate Professional',889']],
['Bellary', '9', 'ST', 'Karnataka', 'B. Sreeramulu', 'Bharatiya Janta Party', '1487945', '1045772', '70.3 %', '85144', '8.1%', '8', 'Graduate',,
['Berhampur', '20', 'GEN', 'Orissa', 'Sidhant Mohapatra', 'Biju Janata Dal', '1334268', '905362', '67.9 %', '127720', '14.1%', '0', 'Graduate',,
['Betul', '29', 'ST', 'Madhya Pradesh [2000 Onwards]', 'Jyoti Dhurve', 'Bharatiya Janta Party', '1607822', '1047719', '65.2 %', '328614', '31.4%', '2', 'Post Graduate',,
['Bhadohi', '78', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Virendra Singh', 'Bharatiya Janta Party', '1834598', '981552', '53.5 %', '158039', '16.1%', '0', 'Graduate',,
