pc_name,pc_no,pc_type,st_name,year,cand_name,cand_sex,partyname,partyabbre,totvotpoll,electors
Akbarpur,21,SC,Uttar Pradesh,2014,Manjula Diwakar,F,Communist Party Of India,CPI,32618,1149478
Akbarpur,21,SC,Uttar Pradesh,2014,Baldev Chowdhary,M,Indian National Congress,INC,80459,1149478
Akbarpur,21,SC,Uttar Pradesh,2014,Suresh Bahadur,M,Bahujan Samaj Party,BSP,139237,1149478
Akbarpur,21,SC,Uttar Pradesh,2014,Purnima Verma,F,Bharatiya Janata Party,BJP,146676,1149478
Akbarpur,21,SC,Uttar Pradesh,2014,Reena Chowdhary,F,Samajwadi Party,SP,182034,1149478
Akbarpur,22,GEN,Uttar Pradesh,2014,Dinesh Kumar Tripathi,M,Independent,IND,502,1201204
Akbarpur,22,GEN,Uttar Pradesh,2014,Sunderlal,M,Independent,IND,516,1201204
Akbarpur,22,GEN,Uttar Pradesh,2014,Kailash Nath Mishra,M,Independent,IND,836,1201204
Akbarpur,22,GEN,Uttar Pradesh,2014,Ramnath,M,Independent,IND,1108,1201204
Akbarpur,22,GEN,Uttar Pradesh,2014,Pradeep Kumar,M,Shivsena,SHS,1327,1201204
Akbarpur,22,GEN,Uttar Pradesh,2014,Mohd. Hafeez,M,Independent,IND,1355,1201204
Akbarpur,22,GEN,Uttar Pradesh,2014,Rajkishor,M,Independent,IND,1428,1201204
Akbarpur,22,GEN,Uttar Pradesh,2014,Vishwambher Nath,M,Independent,IND,1989,1201204
Akbarpur,22,GEN,Uttar Pradesh,2014,Ramkhelawan,M,Lok Shakti,LS,4284,1201204
Akbarpur,22,GEN,Uttar Pradesh,2014,Deepak,M,Independent,IND,4543,1201204
Aligarh,22,GEN,Uttar Pradesh,2014,Anis-Ur-Rehman,M,Indian National Congress,INC,46258,1201204
Aligarh,22,GEN,Uttar Pradesh,2014,Devi Bux,M,Bharatiya Janata Party,BJP,149546,1201204
Aligarh,22,GEN,Uttar Pradesh,2014,Mohd. Moin,M,Bahujan Samaj Party,BSP,169467,1201204
Aligarh,22,GEN,Uttar Pradesh,2014,Deepak Kumar,M,Samajwadi Party,SP,207242,1201204
Aligarh,23,GEN,Uttar Pradesh,2014,Hira Lal,M,Independent,IND,323,1174548
Aligarh,23,GEN,Uttar Pradesh,2014,Shree Pal,M,Independent,IND,492,1174548
Aligarh,23,GEN,Uttar Pradesh,2014,Bindha Deen,M,Independent,IND,641,1174548
Aligarh,23,GEN,Uttar Pradesh,2014,Krishna Gopal Kasaudhan Alias Neta,M,Independent,IND,687,1174548
Aligarh,23,GEN,Uttar Pradesh,2014,Rajesh Kumar,M,Independent,IND,732,1174548
Aligarh,23,GEN,Uttar Pradesh,2014,Paras Nath,M,Independent,IND,823,1174548
Aligarh,23,GEN,Uttar Pradesh,2014,Ram Sewak,M,Independent,IND,829,1174548
Aligarh,23,GEN,Uttar Pradesh,2014,Dhani Ram,M,Independent,IND,1077,1174548
Aligarh,23,GEN,Uttar Pradesh,2014,Ram Sunder Singh,M,Independent,IND,1081,1174548
Aligarh,23,GEN,Uttar Pradesh,2014,Dinesh Chandra,M,Independent,IND,1102,1174548
Aligarh,23,GEN,Uttar Pradesh,2014,Suneeta Bharti,F,Bahujan Kranti Dal,BKD,1218,1174548
Aligarh,23,GEN,Uttar Pradesh,2014,Arvind Kumar,M,Independent,IND,1265,1174548
Aligarh,23,GEN,Uttar Pradesh,2014,Ram Bilas,M,Janata Dal (Secular),JD(S),1326,1174548
