Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
251,Ajit Kumar Jain (patwa) Dharti Pakad,INDORE,IND,0,8th Pass,Nil,Rs 0
252,Ajit Kumar Singh,HAZARIBAGH,AITC,0,12th Pass,"Rs 60,00,000","Rs 9,12,823"
253,Ajit Pal Singh,BADAUN,Peace Party,0,Graduate,"Rs 89,00,000",Rs 0
254,Ajit Pramod Kumar Jogi,MAHASAMUND,INC,1,Graduate Professional,"Rs 6,15,83,410","Rs 15,00,000"
255,Ajit Prasad Mahata,PURULIA,JVM(P),12,Graduate,"Rs 18,23,340",Rs 0
256,Ajit Singh,BAGHPAT,RLD,0,Post Graduate,"Rs 16,92,54,660",Rs 0
257,Ajitansh Gaur,MUZAFFARPUR,IND,0,Post Graduate,"Rs 23,000",Rs 0
258,Ajith Kumar K K,PATHANAMTHITTA,IND,1,Graduate,"Rs 6,63,000","Rs 3,42,000"
259,Ajmat Ali,KOTA,Bharatiya Yuva Shakti,0,8th Pass,"Rs 1,93,438",Rs 0
260,Akar Dhoj Limbu,SIKKIM,INC,0,Graduate Professional,"Rs 55,04,900",Rs 0
261,Akash Gupta,MORENA,IND,0,Graduate,"Rs 5,05,042",Rs 0
262,Akbar Ahmad Dumpy,GONDA,BSP,3,Graduate,"Rs 2,66,07,824","Rs 17,84,507"
263,Akbar Husain,RAMPUR,BSP,0,10th Pass,"Rs 6,21,20,983","Rs 37,90,727"
264,Akbar Kasmi,GURGAON,Rashtriya Ulama Council,0,Others,"Rs 15,92,000",Rs 0
265,Akbar Masood,RAMPUR,IND,0,Post Graduate,"Rs 25,13,782",Rs 0
266,Akhand,KUSHI NAGAR,AAP,0,Graduate,"Rs 24,07,300",Rs 0
267,Akhei Achumi,NAGALAND,Socialist Party (India),0,Graduate,"Rs 31,22,000",Rs 0
268,Akhil Bhartiya Sharma,BANKA,IND,0,Graduate Professional,"Rs 50,000",Rs 0
269,Akhilesh,GWALIOR,CPI(M),1,Graduate,"Rs 1,84,700",Rs 0
270,Akhilesh,BHADOHI,NCP,1,Doctorate,"Rs 16,58,500",Rs 0
271,Akhilesh,MAHARAJGANJ,SP,7,Graduate,"Rs 3,50,83,577",Rs 0
272,Akhilesh Kumar,UNNAO,CPI(ML) Red Star,0,Literate,"Rs 2,36,000",Rs 0
273,Akhilesh Kumar,MAHARAJGANJ,Apna Dal United Party,0,12th Pass,"Rs 2,28,000",Rs 0
274,Akhilesh Prasad Singh,MUZAFFARPUR,INC,0,Doctorate,"Rs 21,62,75,454",Rs 0
275,Akhtarul Iman,KISHANGANJ,JD(U),1,Post Graduate,"Rs 49,07,533","Rs 8,20,788"
276,Akki Reddy Bhimanadula,NARASARAOPET,Pyramid Party of India,0,10th Pass,"Rs 6,44,500",Rs 0
277,Aklu Ram Mahto,DHANBAD,SP,0,Post Graduate,"Rs 17,47,750",Rs 0
278,Akmal Khan Urf Chaman,BADAUN,BSP,0,Literate,"Rs 1,46,79,858","Rs 15,10,000"
279,Akshay Verma,MUZAFFARPUR,Sarvajan Kalyan Loktantrik Party,0,Post Graduate,"Rs 4,78,45,505","Rs 1,49,49,074"
280,Akshay Yadav,FIROZABAD,SP,0,Graduate,"Rs 10,08,83,304","Rs 59,377"
281,Akshaybar Nath Mishra,LUDHIANA,JD(U),1,Post Graduate,"Rs 2,55,200",Rs 0
282,Akthaar Ali,JHANJHARPUR,Jai Prakash Janata Dal,0,Graduate,"Rs 1,16,600",Rs 0
283,Al Sivagnanam,SIVAGANGA,IND,0,5th Pass,"Rs 69,480",Rs 0
284,Alagiri.s,CUDDALORE,INC,0,Graduate,"Rs 1,79,18,014","Rs 5,17,40,512"
285,Alagumalai.v.,TENKASI,IND,0,12th Pass,"Rs 4,70,000",Rs 0
286,"Alagusundaram, K.",THENI,MDMK,1,Graduate Professional,"Rs 30,85,000","Rs 2,54,000"
287,Albin M U,ALATHUR,IND,0,12th Pass,Rs 900,Rs 0
288,Aleixo Reginaldo Lourenco,SOUTH GOA,INC,0,12th Pass,"Rs 3,14,53,008","Rs 9,05,729"
289,Aleyamma Varghese,PATHANAMTHITTA,AITC,0,10th Pass,"Rs 2,28,00,000","Rs 42,00,000"
290,Alfraid Vikas Luis,DURG,IND,0,Graduate,"Rs 1,36,000",Rs 0
291,Ali Akbar,VADAKARA,AAP,0,12th Pass,"Rs 44,48,946","Rs 26,74,831"
292,Ali Husan,NORTH EAST DELHI,IND,0,5th Pass,"Rs 10,47,500",Rs 0
293,Ali Hussain,DHUBRI,IND,0,Graduate,"Rs 1,14,136",Rs 0
294,Ali Kishor Patnaik,BERHAMPUR,CPI(M),1,Graduate,"Rs 74,50,333",Rs 0
295,Alimuddin Ansari,BANKA,IND,0,Others,"Rs 3,52,000",Rs 0
296,Alimuddin Ansari,KISHANGANJ,AAP,0,10th Pass,"Rs 52,10,680",Rs 0
297,Allapichai .e,RAMANATHAPURAM,IND,0,Graduate,"Rs 1,36,60,000",Rs 0
298,Alok Agarwal,KHANDWA,AAP,2,Graduate Professional,"Rs 12,871",Rs 0
299,Alok Chaturvedi,KOLKATA UTTAR,AAP,0,Graduate Professional,"Rs 4,24,89,478","Rs 77,453"
300,Alok Kumar Mehta,UJIARPUR,RJD,4,Graduate Professional,"Rs 5,16,15,071","Rs 36,61,335"
301,Alok Nandan,MAINPURI,IND,0,Post Graduate,"Rs 86,47,900",Rs 0
302,Alok Sanjar,BHOPAL,BJP,0,Graduate Professional,"Rs 1,45,94,066","Rs 3,00,000"
303,Alok Sen,DIAMOND HARBOUR,IND,0,12th Pass,"Rs 83,63,380",Rs 0
304,Alok Sharma,GWALIOR,BSP,0,8th Pass,"Rs 2,04,54,704",Rs 0
305,"Alphonesraj, M.",COIMBATORE,IND,0,5th Pass,"Rs 2,61,500",Rs 0
306,Altaf Abdulgani Shikalgar,SATARA,Bahujan Mukti Party,0,8th Pass,"Rs 57,27,145","Rs 2,27,144"
307,Altaf Ahamad Iqbal Ahmad,NANDED,IUML,0,Graduate,"Rs 44,62,742","Rs 5,71,000"
308,Altaf Ali Mohammad,VIJAYAWADA,IND,0,5th Pass,"Rs 40,737",Rs 0
309,Altaf Husain,CHANDNI CHOWK,Bhartiya Janta Dal (Integrated),0,12th Pass,"Rs 47,90,000",Rs 0
310,Altaf Husain Yenegure,OSMANABAD,IND,0,Graduate,"Rs 16,90,000",Rs 0
311,Alur M.g. Swamy,DAVANAGERE,IND,0,Graduate,"Rs 3,69,20,000","Rs 1,50,000"
312,Alwarsamy Karthikeyan.l,THOOTHUKKUDI,IND,0,Post Graduate,"Rs 4,80,000",Rs 0
313,Amal Say Sori,KANKER,IND,0,Graduate,"Rs 3,62,500","Rs 4,00,000"
314,Aman Kumar Samajsevi,SUPAUL,BSP,0,12th Pass,"Rs 57,28,000",Rs 0
315,Amanullah,RANCHI,AAP,0,Post Graduate,"Rs 23,91,132","Rs 1,26,000"
316,Amar Chand Pohiya,BHARATPUR,Rajasthan Vikas Party,0,10th Pass,"Rs 20,76,000","Rs 23,000"
317,Amar Nath Pandey,KORBA,AAP,2,Graduate Professional,"Rs 36,56,000","Rs 3,93,000"
318,Amar Nath Yadav,SIWAN,CPI(ML)L,8,Literate,"Rs 63,57,303","Rs 89,897"
319,Amar Prakash,ALMORA,UTTARAKHAND PARIVARTAN PARTY,0,Graduate,"Rs 9,09,412","Rs 1,25,000"
320,Amar Sahani,VALMIKI NAGAR,Bharatiya Ekta Dal,0,Literate,"Rs 25,66,000",Rs 0
321,Amar Singh,AGRA,IND,0,12th Pass,"Rs 2,47,000",Rs 0
322,Amar Singh,AKBARPUR,Janvadi Party(Socialist),0,10th Pass,"Rs 17,01,500","Rs 2,50,000"
323,Amar Singh,FATEHPUR SIKRI,RLD,0,Graduate Professional,"Rs 96,68,49,798",Rs 0
324,Amar Singh,GANGANAGAR,Bahujan Mukti Party,0,10th Pass,"Rs 12,30,000","Rs 5,86,706"
325,Amar Singh Patel,VIDISHA,BSP,0,12th Pass,"Rs 3,11,829","Rs 27,310"
326,Amar Singh Rathaur,BANDA,AAP,0,Graduate Professional,"Rs 71,80,000","Rs 6,20,000"
327,Amara Ram,SIKAR,CPI(M),0,Post Graduate,"Rs 46,81,929","Rs 7,74,000"
328,Amarinder Singh,AMRITSAR,IND,0,12th Pass,"Rs 60,000",Rs 0
329,Amarjit Kaur,CHANDIGARH,IND,0,8th Pass,"Rs 70,20,000","Rs 5,00,000"
330,Amarjit Singh Asal,AMRITSAR,CPI,0,Post Graduate,"Rs 18,66,611",Rs 0
331,Amarnath Pradhan,SAMBALPUR,INC,0,Post Graduate,"Rs 5,60,69,048",Rs 0
332,Amarnath Tiwari,PURNIA,INC,1,Graduate,"Rs 4,33,29,826","Rs 67,31,845"
333,Amarson Sankhil,OUTER MANIPUR,IND,0,Post Graduate,"Rs 8,57,093",Rs 0
334,Ambalathara Kunhikrishnan,KASARAGOD,AAP,0,10th Pass,"Rs 2,45,690",Rs 0
335,Ambedkar Prakash Yashwant,AKOLA,Bharipa Bahujan Mahasangha,3,Graduate Professional,"Rs 3,57,16,840","Rs 14,00,000"
336,Ambendkari Hasnooram Ambendkari,FATEHPUR SIKRI,IND,0,Literate,"Rs 2,62,200","Rs 1,20,000"
337,Ambesh Kumari,TIKAMGARH,SP,1,Doctorate,"Rs 1,57,10,045","Rs 32,55,734"
338,Ambika Singh,BASTI,INC,0,Graduate,"Rs 1,62,29,000","Rs 2,80,000"
339,Ambika Soni,ANANDPUR SAHIB,INC,0,Post Graduate,"Rs 1,18,00,35,973","Rs 2,78,47,000"
340,Ambrose D,BANGALORE CENTRAL,IND,0,Post Graduate,Rs 575,Rs 0
341,Ameeruddin,KUSHI NAGAR,Apna Dal United Party,0,Graduate,"Rs 28,50,774",Rs 0
342,Ameeta Singh,SULTANPUR,INC,0,Doctorate,"Rs 34,60,33,232","Rs 3,84,041"
343,Amin Chand,HAMIRPUR,IND,0,5th Pass,"Rs 2,77,443",Rs 0
344,Amirthalingam .u,RAMANATHAPURAM,IND,0,8th Pass,"Rs 14,60,000","Rs 3,70,000"
345,Amit,SANT KABIR NAGAR,IND,0,Graduate,"Rs 30,000","Rs 50,000"
346,Amit Aggarwal,GURDASPUR,IND,0,12th Pass,"Rs 12,49,500","Rs 2,50,000"
347,Amit Bhatnagar,KHAJURAHO,AAP,0,Post Graduate,"Rs 21,36,231",Rs 0
348,Amit Jassi,JALANDHAR,IND,0,Graduate,"Rs 3,77,801","Rs 10,000"
349,Amit Kumar,MORADABAD,Bahujan Mukti Party,0,Post Graduate,"Rs 4,46,061",Rs 0
350,Amit Kumar,SAMASTIPUR,Samajwadi Janata Party (Rashtriya),1,12th Pass,"Rs 14,78,998","Rs 1,95,000"
351,Amit Kumar Chaubey,PURVI CHAMPARAN,AAP,0,Post Graduate,"Rs 62,38,000","Rs 9,60,000"
352,Amit Kumar Sharma,NORTH EAST DELHI,IND,0,Graduate,"Rs 17,10,000",Rs 0
353,Amit Kumar Singh,RANCHI,IND,0,12th Pass,"Rs 11,69,044","Rs 9,000"
354,Amit Rawat,MOHANLALGANJ,AITC,0,10th Pass,"Rs 1,60,000",Rs 0
355,Amita Singh Jaat,ALIGARH,Sarva Samaj Kalyan Party,0,Post Graduate,"Rs 38,65,000",Rs 0
356,Amitabh Choudhary,RANCHI,JVM(P),0,Graduate Professional,"Rs 1,79,31,854","Rs 10,95,618"
357,Amiya Kanta Mallick,JAJPUR,BJP,0,10th Pass,"Rs 1,06,80,000","Rs 51,30,000"
358,Amrendra Kumar Yadav,UJIARPUR,Rashtriya Krantikari Samajwadi Party,2,Post Graduate,"Rs 7,96,700","Rs 12,500"
359,Amrik Singh,PATIALA,New All India Congress Party,1,Illiterate,"Rs 6,07,780",Rs 0
360,Amrishbhai Rasiklal Patel,DHULE,INC,21,8th Pass,"Rs 50,41,97,656","Rs 14,29,34,079"
361,Amrit Tirkey,RAIGARH,IND,0,8th Pass,"Rs 27,11,000",Rs 0
362,Amudala Subramanyam,HINDUPUR,Rayalaseema Parirakshana Samithi,0,Post Graduate,"Rs 7,45,000","Rs 1,10,000"
363,Anand Bhadauriya,DHAURAHRA,SP,3,Post Graduate,"Rs 2,39,97,933","Rs 1,00,000"
364,Anand Kaushal Singh,PASCHIM CHAMPARAN,AAP,0,12th Pass,"Rs 15,06,647","Rs 5,06,875"
365,Anand Kumar,DHAURAHRA,NCP,0,12th Pass,"Rs 12,05,500",Rs 0
366,Anand Kumar,NORTH EAST DELHI,AAP,0,Doctorate,"Rs 2,92,55,377","Rs 72,369"
367,Anand Kumar Jain,BHAGALPUR,IND,0,Graduate Professional,"Rs 61,72,660",Rs 0
368,Anand Kumar Verma,HARDWAR,Hindustan Krantikari Dal,0,Graduate Professional,"Rs 15,65,623",Rs 0
369,Anand Mahato,DHANBAD,Marxist Co-Ordination,1,Graduate,"Rs 61,55,932",Rs 0
370,Anand Mehrotra,KANPUR,Nagrik Ekta Party,1,Post Graduate,"Rs 10,83,000",Rs 0
371,Anand Mishra,BILASPUR,AAP,0,Post Graduate,"Rs 46,85,783","Rs 14,40,000"
372,Anand Prakash Pranjape,KALYAN,NCP,4,Post Graduate,"Rs 3,59,20,212","Rs 33,79,297"
373,Anand Prasad,PASCHIM CHAMPARAN,IND,0,10th Pass,"Rs 1,35,70,606","Rs 2,48,000"
374,Anand Rajpal,BASTI,AAP,0,Graduate,"Rs 1,45,04,590","Rs 25,38,160"
375,Ananda G,CHAMARAJANAGAR,IND,0,Others,"Rs 1,30,000",Rs 0
376,Ananda Gatty,DAKSHINA KANNADA,IND,0,Graduate Professional,"Rs 53,28,850","Rs 4,50,000"
377,Ananda Kumar Samal,SAMBALPUR,AAP,0,Post Graduate,"Rs 1,69,838","Rs 1,23,121"
378,Ananda Rao Sompalli,NELLORE,IND,1,Graduate,"Rs 78,13,000",Rs 0
379,Ananda Sakharam Bhalerao,MUMBAI NORTH EAST,IND,0,10th Pass,"Rs 1,57,386",Rs 0
380,"Anandan Alias Kavignar Ananthamaalai, S",CHIDAMBARAM,IND,0,12th Pass,"Rs 2,75,000",Rs 0
381,Anandaraj Dokka,DHARWAD,IND,0,8th Pass,"Rs 2,20,000",Rs 0
382,"Anandharaj, M.",THOOTHUKKUDI,IND,0,Others,"Rs 40,000",Rs 0
383,Anandharajan.s,CUDDALORE,IND,0,Post Graduate,"Rs 64,850","Rs 17,652"
384,Anandkumar Sarvarsinh Vasava,BHARUCH,IND,0,Post Graduate,"Rs 22,96,015",Rs 0
385,Anandkumar.k,DHARMAPURI,IND,0,Not Given,"Rs 10,39,000",Rs 0
386,Anandram Sahu,RAJNANDGAON,BSP,0,8th Pass,"Rs 66,80,680","Rs 3,00,000"
387,Anant Lal Basor,DAMOH,IND,0,10th Pass,"Rs 90,14,000",Rs 0
388,Anant Nayak,KEONJHAR,BJP,0,12th Pass,"Rs 52,41,777","Rs 8,75,448"
389,Ananta Lal Gupta,ASANSOL,SUCI(C),0,Others,"Rs 41,50,000",Rs 0
390,Ananth Kumar,BANGALORE SOUTH,BJP,0,Graduate Professional,"Rs 4,52,24,706","Rs 28,83,233"
391,Ananth Rao Gundepally,SECUNDERABAD,IND,0,Post Graduate,"Rs 17,50,000","Rs 4,00,000"
392,Anantha Venkata Rami Reddy,ANANTAPUR,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,"Rs 2,63,01,000",Rs 0
393,Anantkumar Hegde,UTTARA KANNADA,BJP,0,12th Pass,"Rs 3,23,67,360","Rs 1,51,39,611"
394,Ananya Sarkar,JAYNAGAR,BSP,0,Post Graduate,"Rs 12,65,000",Rs 0
395,Anbalagan D,TIRUVANNAMALAI,IND,0,Graduate Professional,"Rs 4,36,200",Rs 0
396,Anbalagan.m,TIRUCHIRAPPALLI,IND,0,10th Pass,"Rs 12,76,450","Rs 1,90,000"
397,Anbazhagan .g,CHENNAI NORTH,IND,0,Post Graduate,"Rs 10,70,799",Rs 0
398,"Anbil Thangamani, K.",PERAMBALUR,IND,0,Post Graduate,"Rs 63,00,000",Rs 0
399,Anbumani Ramadoss,DHARMAPURI,PMK,8,Graduate Professional,"Rs 31,43,78,451","Rs 4,19,41,065"
400,Anbumani.g,DHARMAPURI,IND,0,12th Pass,"Rs 13,01,000",Rs 0
401,Anbuselvan.,COIMBATORE,IND,0,Graduate Professional,"Rs 58,31,644","Rs 29,00,000"
402,Aneeta Hindoliya,UJJAIN,AAP,0,Post Graduate,"Rs 57,60,417","Rs 15,64,210"
403,Angad Mahato,JAMSHEDPUR,Amra Bangalee,1,10th Pass,"Rs 40,05,014",Rs 0
404,Angesh Kumar,SHEOHAR,BSP,2,Graduate Professional,"Rs 17,94,40,000","Rs 57,50,000"
405,Anguraj.p,DHARMAPURI,IND,0,12th Pass,"Rs 32,57,000","Rs 2,41,000"
406,Anil,KURUKSHETRA,IND,0,5th Pass,"Rs 1,80,36,000",Rs 0
407,Anil,ROHTAK,Rashtriya Bahujan Hitay Party,0,10th Pass,"Rs 15,20,000",Rs 0
408,Anil,AGRA,Bharatiya Kisan Parivartan Party,0,Literate,"Rs 3,05,538",Rs 0
409,Anil,MEERUT,IND,0,12th Pass,"Rs 15,94,367","Rs 1,04,944"
410,Anil Awasthi,KANPUR,AITC,0,Graduate,"Rs 9,69,443",Rs 0
411,Anil Bhagawati,GAUHATI,IND,2,Doctorate,"Rs 46,19,004","Rs 2,29,300"
412,Anil Jaysing Ghanvat,AHMEDNAGAR,IND,6,Graduate,"Rs 3,33,40,000","Rs 1,63,597"
413,Anil Khajuria,UDHAMPUR,IND,0,Graduate Professional,"Rs 25,000",Rs 0
414,Anil Kumar,FATEHPUR SIKRI,IND,0,Graduate,"Rs 14,12,100",Rs 0
415,Anil Kumar,UNNAO,IND,0,10th Pass,"Rs 21,00,000",Rs 0
416,Anil Kumar,MUZAFFARNAGAR,Bahujan Mukti Party,0,Graduate Professional,"Rs 46,62,600","Rs 5,18,000"
417,Anil Kumar,BAGHPAT,Peace Party,4,12th Pass,"Rs 5,54,27,000","Rs 75,22,794"
418,Anil Kumar,ERNAKULAM,IND,0,8th Pass,"Rs 72,000",Rs 0
419,Anil Kumar,GOPALGANJ,JD(U),0,Graduate,"Rs 1,16,18,500",Rs 0
420,Anil Kumar,SONIPAT,Rashtriya Bahujan Hitay Party,0,10th Pass,"Rs 1,08,75,000",Rs 0
421,Anil Kumar,JAIPUR RURAL,AAP,0,10th Pass,"Rs 29,92,554","Rs 2,01,420"
422,Anil Kumar,PATNA SAHIB,IND,0,Post Graduate,"Rs 1,99,542",Rs 0
423,Anil Kumar,HAMIRPUR,Ambedkar Samaj Party,0,10th Pass,"Rs 90,000",Rs 0
424,Anil Kumar,THIRUVANANTHAPURAM,IND,0,12th Pass,"Rs 40,000",Rs 0
425,Anil Kumar Chaudhary,UNNAO,IND,0,12th Pass,"Rs 6,80,050",Rs 0
426,Anil Kumar Gupta,UDHAMPUR,IND,0,Graduate,"Rs 5,16,21,298","Rs 17,17,547"
427,Anil Kumar Mahto,PURNIA,Janvadi Party(Socialist),0,10th Pass,"Rs 6,81,406",Rs 0
428,Anil Kumar Maurya,CHANDAULI,BSP,0,Doctorate,"Rs 7,06,11,507","Rs 2,55,47,824"
429,Anil Kumar Mishra,UNNAO,Socialist Party (India),0,10th Pass,"Rs 5,39,375","Rs 52,000"
430,Anil Kumar N S,ATTINGAL,BSP,1,12th Pass,"Rs 4,33,000",Rs 0
431,Anil Kumar Oraon,CHATRA,IND,0,10th Pass,"Rs 34,90,000","Rs 25,000"
432,Anil Kumar Shahani,MAHARAJGANJ,IND,0,Graduate,"Rs 9,00,000",Rs 0
433,Anil Kumar Sharma,BADAUN,Labour Party of India (V.V. Prasad),0,Graduate Professional,"Rs 49,00,000",Rs 0
434,Anil Kumar Sharma,JAIPUR,Jago Party,0,Graduate,"Rs 75,100",Rs 0
435,Anil Kumar Sharma,JAHANABAD,JD(U),1,Doctorate,"Rs 8,49,88,03,720","Rs 1,09,53,93,904"
436,Anil Kumar Singh,PURVI CHAMPARAN,Jai Maha Bharath Party,0,12th Pass,"Rs 2,38,46,000",Rs 0
437,Anil Kumar Singh,JAUNPUR,IND,0,10th Pass,"Rs 25,36,000",Rs 0
438,Anil M.r,SHIMOGA,IND,0,Others,"Rs 7,74,819","Rs 12,52,161"
439,Anil Motiram More,KALYAN,Bahujan Mukti Party,0,Graduate Professional,"Rs 28,28,101","Rs 1,58,609"
440,Anil Pale,UJJAIN,Bahujan Sangharshh Dal,0,Graduate Professional,"Rs 5,07,000","Rs 2,50,000"
441,Anil Shirole,PUNE,BJP,2,Graduate,"Rs 22,76,15,279","Rs 47,81,007"
442,Anil Shukla Varsi,AKBARPUR,BSP,2,Graduate,"Rs 3,27,40,272","Rs 1,12,84,827"
443,Anil Trivedi,INDORE,AAP,0,Post Graduate,"Rs 1,47,18,234",Rs 0
444,Anil Umre,RAIPUR,Ambedkarite Party of India,0,12th Pass,"Rs 11,000",Rs 0
445,Anilkumar Chhitubhai Bhagat,BHARUCH,JD(U),2,Graduate,"Rs 2,85,98,975","Rs 14,92,925"
446,Anilkumar Kasturchand,AHMEDABAD EAST,IND,0,Graduate Professional,"Rs 4,14,94,101","Rs 24,00,000"
447,Anilkumar R,KOTTAYAM,AAP,0,Post Graduate,"Rs 16,86,239","Rs 3,60,000"
448,Anirud Sahu,MADHUBANI,Samajwadi Janata Party (Rashtriya),0,12th Pass,"Rs 5,86,000",Rs 800
449,Anirudhhsinh Juvansinh Zala,RAJKOT,IND,0,10th Pass,"Rs 1,28,77,882","Rs 5,05,939"
450,Anis Ahamad Khan,PILIBHIT,BSP,0,Graduate,"Rs 3,24,11,744",Rs 0
451,Anish Mariyil,IDUKKI,IND,0,12th Pass,"Rs 85,69,000",Rs 0
452,Anita,AGRA,Vanchitsamaj Insaaf Party,0,10th Pass,"Rs 4,89,000",Rs 0
453,Anita Hansda,JHARGRAM,INC,0,Graduate,"Rs 72,68,903",Rs 0
454,Anita Hitendra Chaudhary,BHIND,SP,0,Graduate,"Rs 1,55,14,000","Rs 10,000"
455,Anita Jain,AJMER,IND,0,Graduate Professional,"Rs 47,00,000",Rs 0
456,Anita Mondal,ANDAMAN AND NICOBAR ISLANDS,AITC,1,Graduate,"Rs 54,71,073","Rs 6,000"
457,Anita Nagdigambar Tekam,NAGPUR,IND,0,8th Pass,"Rs 10,500",Rs 0
458,Anita Saini,HARDWAR,SP,0,Literate,"Rs 17,72,95,204","Rs 3,16,824"
459,Anitha Prathap,ERNAKULAM,AAP,0,Graduate Professional,"Rs 20,33,30,000",Rs 0
460,Anjali Anish Damania,NAGPUR,AAP,0,Graduate Professional,"Rs 19,31,61,591","Rs 13,99,670"
461,Anjali Chaudhary,DAUSA,IND,0,Post Graduate,"Rs 7,50,000",Rs 0
462,Anjan Jana,GHATAL,SUCI(C),0,Graduate,"Rs 18,37,958",Rs 0
463,Anjana Udai Lal,JALORE,INC,0,12th Pass,"Rs 65,86,10,000","Rs 20,25,59,600"
464,Anjaneyulu.e,MALKAJGIRI,IND,0,Graduate,"Rs 6,87,000","Rs 4,00,000"
465,Anjani Pandey,RANCHI,IND,0,Graduate Professional,"Rs 25,000",Rs 0
466,Anju,FARRUKHABAD,Bhartiya Shakti Chetna Party,0,Graduate Professional,"Rs 9,89,068",Rs 0
467,Anju Bala,MISRIKH,BJP,0,Post Graduate,"Rs 3,76,18,214","Rs 12,00,000"
468,Anju Devi Dhanka,DAUSA,IND,0,Graduate,"Rs 60,22,739","Rs 28,00,000"
469,Anju Singh,RAE BARELI,AITC,0,Post Graduate,"Rs 28,74,863","Rs 1,10,000"
470,Anju Urf Muskan,BULANDSHAHR,RLD,0,12th Pass,"Rs 29,95,000","Rs 16,56,134"
471,Anjuman Agnihotri,NEW DELHI,IND,0,12th Pass,"Rs 9,30,631","Rs 1,69,975"
472,Ankur,MUZAFFARNAGAR,IND,0,12th Pass,"Rs 74,25,346",Rs 0
473,Ankur Amrutkumar Dhameliya,RAJKOT,AAP,0,12th Pass,"Rs 35,92,268","Rs 2,50,000"
474,Ankush Munjaji Tupsamundre,AURANGABAD,IND,0,Literate,"Rs 51,10,000","Rs 1,942"
475,Ankush Vijayrao Nawale,WARDHA,SP,0,Graduate Professional,"Rs 15,51,000","Rs 72,000"
476,Annadurai A,TIRUVANNAMALAI,IND,0,Illiterate,"Rs 2,00,000",Rs 0
477,Annadurai B,TIRUVANNAMALAI,IND,0,Not Given,"Rs 2,20,000",Rs 0
478,Annadurai C N,TIRUVANNAMALAI,DMK,0,Graduate,"Rs 11,67,91,971","Rs 4,84,30,837"
479,Annamalai .s,RAMANATHAPURAM,IND,0,Post Graduate,"Rs 70,80,000","Rs 13,00,000"
480,Annamdevula Dharma Rao,RAJAHMUNDRY,IND,0,Illiterate,"Rs 1,00,000",Rs 0
481,Annamma Joy,CHALAKUDY,AITC,0,Graduate,"Rs 63,97,000","Rs 20,40,000"
482,Annayyagari Sai Prathap,RAJAMPET,INC,0,12th Pass,"Rs 1,10,11,974","Rs 43,32,082"
483,Annu Tandon,UNNAO,INC,1,Graduate,"Rs 63,60,29,024","Rs 3,00,00,000"
484,Anokhey,FARRUKHABAD,IND,0,12th Pass,"Rs 1,01,49,863",Rs 0
485,Anoop Mishra,MORENA,BJP,0,12th Pass,"Rs 11,05,23,112","Rs 68,78,160"
486,Anoop Nagar,MORENA,IND,0,Literate,"Rs 4,20,000",Rs 0
487,Anoop Nautiyal,TEHRI GARHWAL,AAP,0,Post Graduate,"Rs 5,63,07,735",Rs 0
488,Anoop Singh,HOSHIARPUR,Bharti Jan Suraksha Party,0,10th Pass,"Rs 43,90,000","Rs 2,20,000"
489,Anosh Ekka,KHUNTI,Jharkhand Party,3,10th Pass,"Rs 3,67,66,971","Rs 42,24,902"
490,Anowar Hussain,DHUBRI,AGP,0,Graduate,"Rs 8,28,710",Rs 0
491,Ansar Ali Sk,KANTHI,BSP,0,8th Pass,"Rs 10,16,000",Rs 0
492,Ansari Jahid Mukhtar,BHIWANDI,Bahujan Mukti Party,1,12th Pass,"Rs 38,44,989",Rs 0
493,Ansari Jalaluddin Moinuddin,BHIWANDI,AAP,0,Others,"Rs 58,96,347",Rs 0
494,Ansari Mumtaz Abdul Satar,BHIWANDI,BSP,0,8th Pass,"Rs 2,55,000",Rs 0
495,Ansari Nihal Ah Md Harun,DHULE,AAP,0,10th Pass,"Rs 3,65,66,800","Rs 60,00,000"
496,Anshu Mahan,FARRUKHABAD,IND,0,Literate,"Rs 17,02,500",Rs 0
497,Anshul Verma,HARDOI,BJP,0,Post Graduate,"Rs 3,03,85,000",Rs 0
498,Anta Alok Baskey,MAYURBHANJ,AJSU Party,0,Graduate,"Rs 86,04,192","Rs 6,00,000"
499,Anthony Muthu,KANNIYAKUMARI,CPI(ML)L,10,Post Graduate,"Rs 84,68,000",Rs 0
500,Anto Antony,PATHANAMTHITTA,INC,0,Graduate,"Rs 54,10,884","Rs 42,11,050"
501,Anu Kumar,HOSHIARPUR,IND,1,12th Pass,"Rs 91,000",Rs 0
502,Anu Shukla,VAISHALI,IND,1,12th Pass,"Rs 11,56,49,612","Rs 18,78,947"
503,Anubha Munjare,BALAGHAT,SP,5,Post Graduate,"Rs 3,61,08,915","Rs 21,67,687"
504,Anuj Ganga Singh Patta,MANDLA,GGP,0,Graduate,"Rs 44,80,097","Rs 22,20,000"
505,Anuj Kumar Garg,MATHURA,AAP,0,Post Graduate,"Rs 7,18,75,216","Rs 73,43,000"
506,Anup Negi,GARHWAL,IND,0,12th Pass,"Rs 69,30,000",Rs 0
507,Anup Phukon,DIBRUGARH,AGP,0,Post Graduate,"Rs 47,37,100","Rs 35,49,764"
