Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
2180,Gangesh Kumar Gupta,AMETHI,IND,0,Post Graduate,"Rs 1,19,919",Rs 0
2181,Gangmumei Kamei,OUTER MANIPUR,BJP,0,Post Graduate,"Rs 1,06,56,364",Rs 0
2182,Gannarapu Surender,WARANGAL,BSP,0,Post Graduate,"Rs 91,10,000","Rs 30,00,000"
2183,Ganpat Mahto,DHANBAD,IND,1,12th Pass,"Rs 2,13,27,928",Rs 0
2184,Gaur Chandra Majumder,ANDAMAN AND NICOBAR ISLANDS,BSP,0,Graduate,"Rs 31,92,819","Rs 6,88,689"
2185,Gaurangbhai Rameshbhai Patel,VALSAD,Hindustan Janta Party,1,12th Pass,"Rs 2,40,000",Rs 0
2186,Gaurav,BIJNOR,AAP,0,Graduate Professional,"Rs 2,82,46,000","Rs 2,40,00,000"
2187,Gaurav Kumar Ghosh,BHAGALPUR,National Tiger Party,0,12th Pass,"Rs 84,64,037","Rs 2,50,000"
2188,Gaurav Pundir,TEHRI GARHWAL,IND,0,Post Graduate,"Rs 6,40,000","Rs 1,50,000"
2189,Gauri Shankar,BIKANER,AAP,0,Doctorate,"Rs 21,73,200","Rs 3,00,000"
2190,Gaus Mohammed Sheikh Ayyub Sheikh,NAGPUR,IND,0,10th Pass,"Rs 50,000",Rs 0
2191,Gautam Bharti,MOHANLALGANJ,Rashtriya Rashtrawadi Party,0,12th Pass,"Rs 6,37,543",Rs 0
2192,Gautam Kouri,GHATAL,Amra Bangalee,2,10th Pass,"Rs 14,23,000","Rs 3,00,000"
2193,Gautam Kumar Mahato,DHANBAD,IND,0,10th Pass,"Rs 4,15,157","Rs 2,000"
2194,Gautam Kumar Sarma,BARPETA,IND,0,Post Graduate,"Rs 52,76,151","Rs 6,00,000"
2195,Gautam Ramteke,BALAGHAT,Republican Party of India (Khobragade),0,12th Pass,"Rs 2,000",Rs 0
2196,Gautam Sarkar,MALDAHA UTTAR,SUCI(C),0,Post Graduate,"Rs 3,27,400",Rs 0
2197,Gautam Shinde,BHOPAL,Apna Dal,0,Graduate Professional,"Rs 6,33,000",Rs 0
2198,Gavari Shyam Anant,PALGHAR,BSP,0,12th Pass,"Rs 1,50,000",Rs 0
2199,Gavit Manikrao Hodlya,NANDURBAR,INC,2,5th Pass,"Rs 5,18,33,563","Rs 2,71,769"
