Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
290,MOHAMMAD SHAHABUDDIN,Siwan,RJD,19,Doctorate,"Rs 34,47,000","Rs 4,28,930"
291,MOHAN JENA,Jajpur,BJD,0,Post Graduate,"Rs 8,70,000","Rs 22,568"
292,MOHAN RAWALE,Mumbai South Central,SHS,4,10th Pass,"Rs 55,89,646","Rs 1,45,918"
293,MOHAN SINGH,Deoria,SP,0,Not Given,"Rs 84,68,000","Rs 1,50,000"
294,MOHD. MUQUEEM,Domariaganj,BSP,2,10th Pass,"Rs 49,02,000",Rs 0
295,MOHD. SHAHID,Meerut,BSP,0,5th Pass,"Rs 1,52,20,720","Rs 1,21,146"
296,MOHD. TAHIR,Sultanpur,BSP,1,12th Pass,"Rs 1,16,697",Rs 0
297,MOHITE SUBODH BABURAO,Ramtek,SHS,4,Graduate Professional,"Rs 44,72,038",Rs 0
298,MONI KUMAR SUBBA,Tezpur,INC,0,8th Pass,"Rs 18,64,43,565",Rs 0
299,"MOORTHY, A.K.",Chengalpattu,PMK,0,Post Graduate,"Rs 36,96,741","Rs 3,69,957"
300,MULAYAM SINGH YADAV,Mainpuri,SP,2,Post Graduate,"Rs 1,15,41,224","Rs 41,235"
301,Munshiram S/o Sri Ramcharan Singh,Bijnor,RLD,0,Others,"Rs 29,42,225","Rs 7,20,000"
302,N. N. KRISHNADAS,Palghat,CPM,4,Graduate,"Rs 15,03,105",Rs 0
303,N.Y. HANUMANTHAPPA,Chitradurga,INC,0,Post Graduate,"Rs 62,50,000",Rs 0
304,NAKUL DAS RAI,Sikkim,SDF,0,Graduate,"Rs 68,90,766","Rs 14,94,475"
305,NAMO NARAIN,Sawai Madhopur,INC,0,Post Graduate,"Rs 52,34,897","Rs 4,00,000"
306,NAND KUMAR SAI,Surguja,BJP,1,Post Graduate,"Rs 31,24,000","Rs 6,10,000"
307,NAND KUMAR SINGH CHAUHAN ( NANDU BHAIYA),Khandwa,BJP,0,Graduate,"Rs 45,10,192","Rs 9,47,000"
308,NARANBHAI RATHWA,Chhota Udaipur,INC,0,Post Graduate,"Rs 27,93,000","Rs 2,71,125"
309,NARAYAN CHANDRA BORKATAKY,Mangaldoi,BJP,0,Graduate,"Rs 55,95,818","Rs 3,01,647"
310,NARENDRA KUMAR KUSHWAHA,Mirzapur,BSP,0,12th Pass,"Rs 7,099",Rs 0
311,NARHIRE KALPANA RAMESH,Osmanabad,SHS,5,10th Pass,"Rs 32,34,992","Rs 5,10,681"
312,NAVEEN JINDAL,Kurukshetra,INC,0,Post Graduate,"Rs 12,12,95,000",Rs 0
313,NAVJOT SINGH SIDHU,Amritsar,BJP,1,Graduate,"Rs 6,42,11,374","Rs 3,98,529"
314,NEETA PATERIYA,Seoni,BJP,0,Post Graduate,"Rs 32,39,103","Rs 41,965"
315,NIHALCHAND MEGHWAL,Ganganagar,BJP,0,Graduate,"Rs 22,82,422","Rs 1,68,941"
316,NIKHIL KUMAR,Aurangabad,INC,0,Post Graduate,"Rs 7,44,89,984","Rs 12,20,000"
317,NIKHIL KUMAR CHOUDHARY,Katihar,BJP,1,Graduate,"Rs 45,35,938",Rs 0
318,Nikhilananda Sar,Burdwan,CPM,0,Graduate Professional,"Rs 34,31,414",Rs 0
319,NITISH KUMAR,Nalanda,JD(U),0,Graduate,"Rs 43,89,206","Rs 6,72,674"
320,NIZAMODDIN,Hindupur,INC,0,Graduate,"Rs 14,05,000","Rs 2,00,779"
321,OMAR ABDULLAH,Srinagar,JKN,0,Graduate,"Rs 1,96,84,236","Rs 54,998"
322,P. C. THOMAS (PULLOLIL),Muvattupuzha,IFDP,0,Graduate Professional,"Rs 63,92,358","Rs 12,32,410"
323,P. JAYA PRADA NAHATA,Rampur,SP,0,12th Pass,"Rs 8,42,75,000","Rs 3,00,000"
324,P. KARUNAKARAN,Kasaragod,CPM,20,Post Graduate,"Rs 51,90,249","Rs 10,330"
325,P. RAJENDRAN,Quilon,CPM,0,Post Graduate,"Rs 22,42,499","Rs 2,27,054"
326,P. SATHEEDEVI,Badagara,CPM,1,Graduate Professional,"Rs 13,31,000",Rs 0
327,PALANIMANICKAM. S. S.,Thanjavur,DMK,0,Graduate Professional,"Rs 35,16,998","Rs 5,35,689"
328,"PALANISAMY, K. C.",Karur,DMK,0,5th Pass,"Rs 54,65,69,007","Rs 6,39,20,476"
329,PANABAKA LAKSHMI,Nellore,INC,0,Post Graduate,"Rs 53,95,726",Rs 0
330,PANKAJ,Maharajganj,BJP,0,12th Pass,"Rs 1,41,74,401","Rs 4,73,788"
331,PARAMJIT KAUR GULSHAN,Bhatinda,SAD,0,Post Graduate,"Rs 65,07,661",Rs 0
332,PARANJAPE PRAKASH VISHVANATH,Thane,SHS,0,Graduate,"Rs 59,05,573","Rs 13,82,266"
333,PARASNATH YADAVA,Jaunpur,SP,0,12th Pass,"Rs 29,41,300",Rs 0
334,PARSURAM MAJHI,Nowrangpur,BJP,0,Graduate,"Rs 7,67,000","Rs 25,000"
335,PATEL DAHYABHAI VALLABHBHAI,Daman And Diu,INC,1,12th Pass,"Rs 5,47,87,351","Rs 66,40,008"
336,PATEL HARILAL MADHAVJIBHAI (HARIBHAI PATEL),Porbandar,BJP,0,8th Pass,"Rs 70,41,540","Rs 17,38,534"
337,Patil Prakashbapu Vasantdada,Sangli,INC,0,Graduate,"Rs 3,56,35,000",Rs 0
338,PATIL RUPATAI DILIPRAO NILANGEKAR,Latur,BJP,0,10th Pass,"Rs 19,60,659","Rs 55,85,583"
339,PATIL SHRINIWAS DADASAHEB,Karad,NCP,0,Post Graduate,"Rs 1,24,94,141",Rs 0
340,PATLE SHISHUPAL NATTHU,Bhandara,BJP,0,Graduate Professional,"Rs 11,84,050","Rs 12,000"
341,PATY RIPPLE KYNDIAH,Shillong,INC,0,Graduate,"Rs 40,78,978",Rs 0
342,PAWAN KUMAR BANSAL,Chandigarh,INC,0,Graduate Professional,"Rs 1,75,50,052",Rs 0
343,PAWAR SHARADCHANDRA GOVINDRAO,Baramati,NCP,1,10th Pass,"Rs 4,48,14,206","Rs 13,301"
344,PINGALE DEVIDAS ANANDRAO,Nashik,NCP,1,10th Pass,"Rs 1,97,57,718","Rs 56,07,433"
345,"PONNUSWAMY, E.",Chidambaram,PMK,0,Post Graduate,"Rs 4,20,000","Rs 3,18,534"
346,PRABHU R.,Nilgiris,INC,0,Post Graduate,"Rs 10,24,40,054",Rs 0
347,PRABHUNATH SINGH,Maharajganj,JD(U),11,12th Pass,"Rs 32,96,840","Rs 5,30,175"
348,Prabodh Panda,Midnapore,CPI,0,Graduate,"Rs 12,97,328",Rs 0
349,PRADEEP GANDHI,Rajnandgaon,BJP,0,Graduate,"Rs 16,99,397","Rs 4,86,000"
350,PRALHAD JOSHI,Dharwad North,BJP,4,Graduate,"Rs 77,60,188","Rs 3,25,87,745"
351,Pranab Mukherjee,Jangipur,INC,0,Doctorate,"Rs 1,52,04,925","Rs 2,17,267"
352,PRASANNA ACHARYA,Sambalpur,BJD,0,Graduate Professional,"Rs 1,01,84,422","Rs 8,74,591"
353,PRASANNA KUMAR PATASANI,Bhubaneswar,BJD,0,Post Graduate,"Rs 44,41,581",Rs 0
354,Prasanta Pradhan,Contai,CPM,0,Post Graduate,"Rs 14,10,752","Rs 15,000"
355,PRATIBHA SINGH,Mandi,INC,0,Graduate,"Rs 23,02,88,018","Rs 15,42,808"
356,PRENEET KAUR,Patiala,INC,0,Graduate,"Rs 41,28,67,297",Rs 0
357,Priya Ranjan Dasmunsi,Raiganj,INC,0,Post Graduate,"Rs 75,04,280","Rs 30,00,000"
358,PRO. RAM GOPAL YADAV,Sambhal,SP,0,Doctorate,"Rs 79,53,884","Rs 4,75,000"
359,PRO. S.P SINGH BAGHEL,Jalesar,SP,1,Post Graduate,"Rs 56,23,000","Rs 7,87,357"
360,PUNNULAL MOHLE,Bilaspur,BJP,0,12th Pass,"Rs 37,27,718",Rs 0
361,PURANO AGITOK SANGMA,Tura,AITC,0,Post Graduate,"Rs 3,50,32,125",Rs 0
362,PUSP JAIN,Pali,BJP,0,Graduate Professional,"Rs 16,54,429","Rs 2,22,611"
363,R.L. JALAPPA,Chikballapur,INC,0,Graduate,"Rs 4,02,39,308","Rs 1,05,000"
364,RABINDRA KU. RANA,Khagaria,RJD,1,Graduate Professional,"Rs 63,36,271",Rs 0
365,RADHEY SHYAM KORI,Ghatampur,SP,0,10th Pass,"Rs 18,68,196",Rs 0
366,RAGHUBANSH PRASAD SINGH,Vaishali,RJD,0,Doctorate,"Rs 48,71,420","Rs 4,81,535"
367,RAGHUNATH JHA,Bettiah,RJD,2,12th Pass,"Rs 1,12,67,189",Rs 0
368,RAGHURAJ SINGH SHAKYA,Etawah,SP,0,Post Graduate,"Rs 19,24,170",Rs 0
369,RAGHUVEER SINGH KOSHAL,Kota,BJP,0,Graduate Professional,"Rs 57,34,998","Rs 6,64,908"
370,RAHUL GANDHI,Amethi,INC,0,Post Graduate,"Rs 55,38,123",Rs 0
371,RAJ BABBAR,Agra,SP,2,Graduate,"Rs 2,23,26,400","Rs 10,00,000"
372,RAJA RAM PAL,Bilhaur,BSP,0,Graduate Professional,"Rs 14,71,113","Rs 2,00,000"
373,"RAJA, A.",Perambalur,DMK,0,Graduate Professional,"Rs 57,59,538","Rs 13,31,049"
374,RAJEN GOHAIN,Nowgong,BJP,0,Graduate Professional,"Rs 36,79,236","Rs 3,36,600"
375,RAJENDRA KUMAR,Hardwar,SP,0,8th Pass,"Rs 23,94,512",Rs 0
376,RAJESH KUMAR MANJHI,Gaya,RJD,0,8th Pass,Nil,"Rs 26,000"
377,RAJESH VERMA,Sitapur,BSP,0,Post Graduate,"Rs 48,50,000","Rs 10,04,319"
378,RAJIV RANJAN SINGH,Begusarai,JD(U),0,Graduate,"Rs 67,46,462",Rs 0
379,RAJNARAYAN ALIAS RAJJU MAHRAJ,Hamirpur,SP,0,Graduate Professional,"Rs 26,40,727","Rs 3,87,411"
380,RAKESH SINGH,Jabalpur,BJP,0,Graduate,"Rs 63,27,291",Rs 0
381,Ram Chandra Dome,Birbhum,CPM,0,Doctorate,"Rs 4,09,541","Rs 2,862"
382,RAM CHANDRA PASWAN,Rosera,LJNSP,0,10th Pass,"Rs 42,04,913",Rs 0
383,RAM JI LAL SUMAN,Firozabad,SP,2,Graduate,"Rs 42,35,985",Rs 0
384,RAM KRIPAL YADAV,Patna,RJD,0,Graduate,"Rs 14,00,031","Rs 2,04,942"
385,RAM VILAS PASWAN,Hajipur,LJNSP,0,Post Graduate,"Rs 83,32,433",Rs 0
386,RAMADASS. M.,Pondicherry,PMK,0,Doctorate,"Rs 32,17,000","Rs 2,47,304"
387,RAMAKANT YADAV,Azamgarh,BSP,9,10th Pass,"Rs 1,73,58,777","Rs 2,00,000"
388,RAMCHANDRA VEERAPPA,Bidar,BJP,0,Literate,"Rs 24,80,708","Rs 8,16,000"
389,RAMESH BAIS,Raipur,BJP,0,12th Pass,"Rs 96,90,604",Rs 0
390,RAMESHWAR ORAON,Lohardaga,INC,0,Doctorate,"Rs 92,38,423","Rs 3,64,452"
391,RAMSEVAK SINGH ( BABUJI),Gwalior,INC,0,5th Pass,"Rs 54,43,950",Rs 0
392,RAMSINGH KASWAN,Churu,BJP,0,Graduate Professional,"Rs 1,31,98,438","Rs 2,08,154"
393,RAMSWAROOP KOLI,Bayana,BJP,3,8th Pass,"Rs 10,53,100",Rs 0
394,RANA GURJEET SINGH,Jullundur,INC,0,10th Pass,"Rs 20,58,28,008","Rs 25,00,000"
395,RANA RAJENDRASINH GHANASHYAMSINH (RAJUBHAI RANA),Bhavnagar,BJP,0,Graduate Professional,"Rs 23,50,613",Rs 0
396,Ranen Barman,Balurghat,RSP,0,10th Pass,"Rs 9,68,333",Rs 0
397,RANI. K,Rasipuram,INC,1,Post Graduate,"Rs 1,37,75,000","Rs 20,77,289"
398,RANJEET RANJAN,Saharsa,LJNSP,0,12th Pass,"Rs 25,49,000",Rs 0
399,RASA SINGH RAWAT,Ajmer,BJP,0,Post Graduate,"Rs 14,71,446",Rs 0
400,RASHEED MASOOD,Saharanpur,SP,1,Post Graduate,"Rs 2,61,75,490","Rs 30,50,977"
401,RATHOD HARISING NASARU,Yavatmal,BJP,0,Graduate,"Rs 38,01,000","Rs 9,45,123"
402,RATTAN SINGH,Tarn Taran,SAD,1,Graduate Professional,"Rs 2,95,16,341",Rs 0
403,RAVI PRAKASH VERMA,Kheri,SP,0,Graduate Professional,"Rs 29,16,963","Rs 2,46,079"
404,"RAVICHANDRAN, A",Sivakasi,MDMK,0,Graduate,"Rs 30,58,910",Rs 0
405,RAYAPATI SAMBASIVA RAO,Guntur,INC,0,Not Given,"Rs 4,81,98,297","Rs 98,89,900"
406,"REGUPATHY, S.",Pudukkottai,DMK,2,Graduate Professional,"Rs 1,59,38,121","Rs 13,26,075"
407,RENUKA CHOWDHURY,Khammam,INC,1,Post Graduate,"Rs 13,69,12,161","Rs 3,00,414"
