Sno,Candidate?,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
6538,SHYAM SUNDER JAIN,West Delhi,SP,0,Not Given,"Rs 1,32,63,000",Rs 0
6539,SHYAM SUNDER RATHI,Rajgarh,SHS,0,Post Graduate,"Rs 1,66,11,190","Rs 5,55,000"
6540,SHYAM SUNDER SHARMA,Mathura,BSP,0,Post Graduate,"Rs 3,25,57,287",Rs 0
6541,SHYAM TIPANNA KURHADE,Mumbai North,IND,0,Literate,"Rs 3,40,000",Rs 0
6542,SHYAMA CHARAN GUPTA,Phulpur,SP,0,Graduate Professional,"Rs 13,56,00,000","Rs 1,88,186"
6543,Shyamal Das,Maldaha Dakshin,IND,0,Graduate,"Rs 34,700",Rs 0
6544,SHYAMAL MONDAL,Diamond Harbour,Ambedkarbadi Party,0,Graduate,"Rs 40,45,000",Rs 0
6545,SHYAMAL NASKAR,Jaynagar,IND,0,Graduate Professional,"Rs 55,000",Rs 0
6546,SHYAMALI ROY CHOWDHURY,Bardhaman-Durgapur,IND,0,12th Pass,"Rs 12,04,700","Rs 1,500"
6547,Shyambabu Subudhi,Aska,IND,0,10th Pass,"Rs 15,50,000",Rs 0
6548,Shyamlal Manjhi,Gaya,IND,0,10th Pass,"Rs 10,000",Rs 0
6549,SIDDESHWAR SHIVAPPA BHOSALE,Sangli,IND,0,Not Given,Nil,Rs 0
6550,Siddeswara.G.M,Davanagere,BJP,0,10th Pass,"Rs 14,02,48,867","Rs 42,63,675"
6551,SIDDHA GOPAL SAHU,Hamirpur,INC,0,Post Graduate,"Rs 2,48,94,125",Rs 0
6552,Siddhartha Pooley,Bhongir,BSP,0,Post Graduate,"Rs 1,10,000",Rs 0
6553,SIDDHESH DINESHBHAI PATEL,Gandhinagar,IND,0,Not Given,"Rs 10,41,170",Rs 0
6554,SIDDIQUE ASHFAQUE ALI,Kalyan,IND,0,12th Pass,"Rs 12,60,000",Rs 0
6555,SIDDIQULLAH CHOWDHURY,Basirhat,AUDF,0,Others,"Rs 27,39,060","Rs 6,42,320"
6556,Sidhant Mohapatra,Berhampur,BJD,0,Post Graduate,"Rs 48,28,474","Rs 1,18,884"
6557,SIDHARTH BOUDHA AHIRWAR,Sagar,RPI(A),0,8th Pass,Nil,Rs 0
6558,SIFAAT ALI KHAN,Rampur,Indian Union Muslim League,0,Graduate,"Rs 1,04,000",Rs 0
6559,SIKANDER SINGH,Fatehgarh Sahib,IND,0,5th Pass,"Rs 10,000",Rs 0
6560,SIKANDER SINGH,Kishanganj,IND,10,10th Pass,"Rs 1,71,19,702","Rs 9,47,928"
6561,SIMA GHOSH,Dibrugarh,IND,0,10th Pass,"Rs 63,000",Rs 0
6562,SINDE SHAILESHBHAI,Daman & Diu,IND,0,12th Pass,"Rs 21,58,000",Rs 0
6563,Sindhu Jayan,Ernakulam,IND,0,10th Pass,"Rs 4,81,000","Rs 10,000"
6564,Sindhu Joy,Ernakulam,CPM,11,Post Graduate,"Rs 12,37,000",Rs 0
6565,Sindhu K S,Ernakulam,IND,2,8th Pass,"Rs 6,00,000","Rs 15,000"
6566,SINDU,Ganganagar,IND,0,Illiterate,"Rs 7,70,000",Rs 0
6567,SINGAI JINNAH. S,Ramanathapuram,DMDK,0,Post Graduate,"Rs 52,70,924","Rs 13,18,625"
6568,SINGAM VENKATESHWARA REDDY,Nandyal,IND,1,8th Pass,"Rs 7,08,500","Rs 50,000"
6569,"SINGARAM, K.",Perambalur,IND,0,Post Graduate,"Rs 5,05,000","Rs 35,00,000"
6570,SINGARAVELAN P,Tiruvannamalai,IND,0,12th Pass,"Rs 1,23,990","Rs 1,152"
6571,SINGH RAJESH MUNNILAL,Thane,RSPS,0,10th Pass,"Rs 6,45,000",Rs 0
6572,SINGJIBHAI JALJIBHAI KATARA,Dahod,CPM,0,Literate,"Rs 80,214",Rs 0
6573,SIRAJ ABDULLA KAUCHALI,Ratnagiri Sindhudurg,BBM,0,8th Pass,"Rs 41,30,250","Rs 7,00,000"
6574,SIRAJ AHAMAD,Domariyaganj,IND,0,Not Given,"Rs 2,24,000",Rs 0
6575,SIRAJ UDDIN AJMAL,Nowgong,AUDF,0,12th Pass,"Rs 40,50,28,596",Rs 0
6576,SIRAJ UDDIN AJMAL,Kaliabor,AUDF,0,12th Pass,"Rs 40,50,28,398",Rs 0
6577,Sirigiri Mannem,Nagarkurnool,IND,0,Graduate,"Rs 2,50,000",Rs 0
6578,SIRIKI SRINIVAS,Eluru,RDMP,0,Post Graduate,"Rs 5,000",Rs 0
6579,Sirupangi Ramulu,Bhongir,IND,1,5th Pass,"Rs 15,05,000",Rs 0
6580,SITA DEVI,Sikar,BHBP,0,Literate,"Rs 10,77,795",Rs 0
6581,SITA RAM,Ganganagar,BSP,0,Post Graduate,"Rs 8,92,918",Rs 0
6582,SITA RAM,Sirsa,INLD,0,Graduate Professional,"Rs 1,76,09,841","Rs 29,00,000"
6583,SITA RAM MORYA,Ganganagar,IND,0,10th Pass,"Rs 12,00,000",Rs 0
6584,SITA RMA BAIRWA,Jaipur,IND,0,10th Pass,"Rs 19,95,300","Rs 65,000"
6585,SITA RMA BUNKAR,Jaipur Rural,IND,0,10th Pass,"Rs 10,30,000",Rs 0
6586,Sital Prasad Dusad,Karimganj,IND,0,5th Pass,"Rs 20,000",Rs 0
6587,SITARAM,Nainital-Udhamsingh Nagar,IND,0,Not Given,Nil,Rs 0
6588,SITARAM GUJHAR,Chittorgarh,IND,0,5th Pass,"Rs 37,000",Rs 0
6589,SITARAM NISHAD,Basti,JPS,0,Not Given,"Rs 1,21,000",Rs 0
6590,SITARAM SINGH,Sheohar,RJD,0,Graduate,"Rs 69,37,000",Rs 0
6591,SITARAM YADAV,Sitamarhi,RJD,3,Graduate Professional,"Rs 94,40,339","Rs 8,34,173"
6592,SIV SINGH,Tonk-Sawai Madhopur,IND,0,Graduate,"Rs 1,45,89,000",Rs 0
6593,SIVADEVAN N,Tiruvannamalai,IND,1,12th Pass,"Rs 3,00,000",Rs 0
6594,SIVAKAMI,Kanniyakumari,BSP,0,Post Graduate,"Rs 2,95,31,700",Rs 0
6595,SIVAKUMAR @ J.K. RITHEESH. K,Ramanathapuram,DMK,2,Graduate,"Rs 12,28,20,653","Rs 40,00,000"
6596,SIVAKUMAR M,Tiruppur,BJP,0,Not Given,Nil,Rs 0
6597,SIVAKUMAR M.A,Virudhunagar,IND,0,12th Pass,"Rs 93,000",Rs 0
6598,SIVAKUMAR N,Tiruppur,UMK,0,Not Given,Nil,Rs 0
6599,SIVAKUMAR S,Kanniyakumari,IND,0,Not Given,"Rs 4,00,000",Rs 0
6600,SIVAKUMAR T,Madurai,IND,0,Graduate,"Rs 2,35,000",Rs 0
6601,SIVAKUMAR.S,Chennai Central,IND,0,Post Graduate,"Rs 38,35,119","Rs 2,17,974"
6602,SIVAKUMAR.S,Thanjavur,IND,0,10th Pass,"Rs 13,20,000","Rs 1,50,000"
6603,SIVAKUMAR.V,Chennai North,IND,0,Others,Nil,Rs 0
6604,SIVALINGAM.D,Kancheepuram,IND,0,8th Pass,"Rs 5,07,000",Rs 0
6605,SIVAN. K,Dharmapuri,IND,0,12th Pass,"Rs 80,000",Rs 0
6606,SIVANMANI P,Virudhunagar,IND,0,10th Pass,"Rs 2,25,000",Rs 0
6607,SIVARAJ P,Nilgiris,IND,0,Graduate,"Rs 17,00,000","Rs 25,000"
6608,SIVARAJ V,Coimbatore,IND,0,Graduate,"Rs 1,53,20,000","Rs 95,15,000"
6609,SIVARAMAN G,Kallakurichi,IND,0,Post Graduate,"Rs 1,01,500",Rs 0
6610,SIVASAMI C,Tiruppur,ADMK,3,Post Graduate,"Rs 5,18,92,954",Rs 0
6611,SIVASAMY. P,Karur,IND,0,Graduate,"Rs 20,000",Rs 0
6612,SIVASANKAR.S.,Erode,IND,0,Not Given,"Rs 50,000",Rs 0
6613,SIVASANKARAN.A,Kancheepuram,Akhila India Jananayaka Makkal Katchi (Dr. Is,0,Others,"Rs 11,500","Rs 1,00,000"
6614,SIYA NAND MANDAL,South Delhi,IND,0,10th Pass,"Rs 51,026",Rs 0
6615,SIYARAM,Etawah,RBCP,0,10th Pass,"Rs 14,31,000",Rs 0
6616,Siyaram Dhritlahare,Raipur,IND,0,Others,"Rs 4,25,000",Rs 0
6617,SIYARAM PRASAD,Jahanabad,IND,0,10th Pass,"Rs 6,37,000",Rs 0
6618,SK NASIRUDDIN,Diamond Harbour,SP,0,8th Pass,"Rs 5,20,000",Rs 0
6619,SK. DAULAT HOSSAIN,Krishnanagar,NCP,0,8th Pass,"Rs 18,28,000",Rs 0
6620,SK. NURUL ISLAM,Basirhat,AITC,0,12th Pass,"Rs 11,55,500","Rs 8,07,500"
6621,SK. SAIDUL HAQUE,Bardhaman-Durgapur,CPM,0,Post Graduate,"Rs 24,14,520","Rs 1,28,172"
6622,SMT BHANWAR KANWAR RAJAWAT,Jaipur,IND,0,Graduate,"Rs 67,65,000","Rs 5,00,000"
6623,Smt Phoolo Devi Netam,Kanker,INC,0,8th Pass,"Rs 34,54,127","Rs 10,13,494"
6624,Smt Susil Bai Banjare,Raipur,IND,0,Not Given,"Rs 1,05,000",Rs 0
6625,SMT VEENA,Farrukhabad,IND,0,Graduate,"Rs 98,000",Rs 0
6626,Smt. Malati Roy,Karimganj,IND,0,8th Pass,"Rs 7,28,800",Rs 0
6627,Smt. RADHA,Udupi Chikmagalur,CPI,0,12th Pass,"Rs 18,62,000",Rs 0
6628,Smti. R. S. Uma Bharathy,Andaman & Nicobar Islands,NCP,1,Graduate,"Rs 73,000",Rs 0
6629,SNEHLATA DEVI,Hazaribagh,IND,0,Not Given,Nil,Rs 0
6630,Sobh Nath Singh,Arrah,IND,0,12th Pass,"Rs 24,432",Rs 0
6631,Sohail Akthar,Saran,BMF,0,12th Pass,"Rs 1,296",Rs 0
6632,SOHAN,Machhlishahr,IND,3,Not Given,"Rs 6,85,000","Rs 8,66,956"
6633,SOHAN PAL,Bulandshahr,NLHP,0,Literate,"Rs 50,000",Rs 0
6634,Sohan Potai,Kanker,BJP,0,Post Graduate,"Rs 82,61,296",Rs 0
6635,SOHAN SINGH,Patiala,IND,0,Not Given,"Rs 7,73,000",Rs 0
6636,SOLEMAN ALI,Dhubri,IND,0,Graduate,"Rs 5,40,879",Rs 0
6637,SOM MARANDI,Rajmahal,JVM(P),0,Graduate,"Rs 53,86,000","Rs 3,00,000"
6638,SOM NATH,Shimla,BSP,0,8th Pass,"Rs 1,90,70,000","Rs 6,00,000"
6639,SOM PARKASH,Hoshiarpur,BJP,0,Post Graduate,"Rs 2,33,37,577",Rs 0
6640,SOMABHAI GANDABHAI KOLIPATEL,Surendranagar,INC,0,5th Pass,"Rs 1,86,18,718",Rs 0
6641,Somaiah Ganapuram,Warangal,IND,0,5th Pass,"Rs 15,000",Rs 0
6642,SOMENDRA NATH MITRA,Diamond Harbour,AITC,0,Graduate Professional,"Rs 1,47,30,832","Rs 1,57,500"
6643,SOMJIBHAI PUNJABHAI DAMOR,Dahod,BJP,0,Graduate,"Rs 98,71,511",Rs 0
6644,SOMKUWAR VIJAY SITARAM,Nagpur,Ambedkarist Republican Party,0,Not Given,"Rs 1,60,000",Rs 0
6645,Somnath Bhagat,Surguja,LJP,0,12th Pass,"Rs 7,90,000",Rs 0
6646,SOMPAL,Baghpat,INC,0,Post Graduate,"Rs 3,12,33,551",Rs 0
6647,SONABEN BHIKHUBHAI PATEL,Bardoli,CPI,0,Literate,"Rs 3,02,000",Rs 0
6648,SONABOR ALI,Gauhati,AUDF,0,Post Graduate,"Rs 30,28,500",Rs 0
6649,SONAMONI DAS,Lakhimpur,LJP,0,Post Graduate,"Rs 88,200",Rs 0
6650,SONAWANE PANDIT UTTAMRAO,Dhule,IND,0,Not Given,"Rs 40,000",Rs 0
6651,SONAWANE PRATAP NARAYANRAO,Dhule,BJP,0,Graduate Professional,"Rs 14,21,57,029","Rs 65,81,693"
6652,SONE LAL SAH,Sitamarhi,IND,0,8th Pass,"Rs 14,55,000",Rs 0
6653,SONIA GANDHI,Rae bareli,INC,0,Others,"Rs 1,37,94,768",Rs 0
6654,SONIA SHARMA,Gautam Budhha Nagar,IND,0,Graduate,"Rs 19,51,000",Rs 0
6655,Sontosh Mohan Dev,Silchar,INC,0,Graduate,"Rs 10,11,08,377",Rs 0
6656,SONWANE ASHOK VITTHAL,Jalna,IND,0,Graduate,"Rs 3,75,000","Rs 35,000"
6657,Sony J Kalyanakumar,Alappuzha,IND,0,Graduate,"Rs 3,77,36,833","Rs 44,09,757"
6658,Sooranad Sukumaran,Mavelikkara,IND,0,Not Given,"Rs 8,00,000",Rs 0
6659,SOU. NAGMANI KISAN JAKKAN,Madha,IND,0,Literate,"Rs 20,000",Rs 0
6660,SOZHAMANNAR KANAKARAJA.K,Thanjavur,IND,0,Post Graduate,"Rs 15,000",Rs 0
6661,Spencer Marks,Kottayam,BSP,0,Graduate Professional,"Rs 10,000",Rs 0
6662,Sradhanjali Pradhan,Balasore,BSP,2,Graduate,"Rs 10,41,723",Rs 0
6663,SRAVAN LAL YADAV,Jaipur Rural,RBD,0,Graduate,"Rs 41,16,000",Rs 0
6664,SRAWAN KUMAR,Jahanabad,LM,0,Not Given,"Rs 25,000",Rs 0
6665,Sreenagari Rajan,Idukki,BJP,1,12th Pass,"Rs 15,00,000",Rs 0
6666,Sreenath,Attingal,IND,0,12th Pass,"Rs 4,02,000","Rs 2,00,010"
6667,Sri A. Raghunath Varma,Berhampur,IND,0,Post Graduate,"Rs 4,65,527","Rs 60,000"
6668,Sri Bharat Paik,Berhampur,BJP,0,Graduate Professional,"Rs 4,47,723",Rs 0
6669,Sri Chandra Sekhar Sahu,Berhampur,INC,0,Graduate Professional,"Rs 82,16,047","Rs 2,74,913"
6670,SRI GONGARAM KAUL,Dibrugarh,CPI(ML)(L),0,Graduate,"Rs 3,405",Rs 19
6671,Sri Kishore Chandra Maharana,Berhampur,IND,0,Doctorate,"Rs 41,73,000","Rs 2,30,000"
6672,SRI PABAN SINGH GHATOWAR,Dibrugarh,INC,0,Graduate,"Rs 97,97,014",Rs 0
6673,SRI PRAKASH JAISWAL,Kanpur,INC,0,12th Pass,"Rs 3,07,67,980",Rs 0
6674,SRI RATUL GOGOI,Dibrugarh,CPI,0,Graduate,"Rs 20,500",Rs 0
6675,SRI ROMEN CH. BORTHAKUR,Dibrugarh,NCP,0,Graduate Professional,"Rs 1,77,15,553","Rs 7,00,000"
6676,SRI SARBANANDA SONOWAL,Dibrugarh,AGP,1,Graduate Professional,"Rs 48,46,140","Rs 9,50,000"
6677,Sri. Gowri Shankara Swamigalu,Tumkur,SP,0,Graduate,"Rs 40,17,500",Rs 0
6678,SRIDHAR.S,Chennai Central,IND,0,5th Pass,"Rs 1,27,000",Rs 0
6679,Srikanta Kumar Jena,Balasore,INC,0,Graduate,"Rs 59,79,551","Rs 8,62,820"
6680,Srinivas,Nagarkurnool,IND,0,12th Pass,Nil,Rs 0
6681,SRINIVAS POOJARY,Udupi Chikmagalur,IND,0,5th Pass,"Rs 28,40,000","Rs 17,50,000"
6682,SRINIVASA BABU M,Dindigul,BSP,0,Graduate,"Rs 91,600",Rs 0
6683,SRINIVASA P.,Kolar,IND,0,Graduate Professional,"Rs 2,50,000",Rs 0
6684,SRINIVASA RAO THOTAKURA,Guntur,Ajeya Bharat Party,0,Graduate Professional,Nil,Rs 0
6685,SRINIVASA REDDY KESARI,Narasaraopet,IND,0,12th Pass,"Rs 2,40,000","Rs 5,49,061"
6686,Srinivasa Sudhish Rambhotla,Secunderabad,TDP,0,Graduate Professional,"Rs 17,88,33,380",Rs 0
6687,SRINIVASA T.O.,Kolar,IND,0,Graduate,Nil,Rs 0
6688,SRINIVASAN K,Arakkonam,LJP,0,Not Given,Nil,Rs 0
6689,SRINIVASAN V.R,Chennai South,IND,0,12th Pass,"Rs 50,000",Rs 0
6690,"SRINIVASAN, V.",Perambalur,MMKA,0,Post Graduate,"Rs 29,46,000",Rs 0
6691,SRINIVASAN. L,Karur,IND,0,Graduate,"Rs 6,85,878",Rs 0
6692,SRIPAL,Rae bareli,IND,0,Post Graduate,"Rs 1,52,000",Rs 0
6693,SRIRAM,Salempur,CPI(ML)(L),0,Post Graduate,"Rs 1,00,000",Rs 0
6694,SRIRAM AMBESH,Ambedkar Nagar,IND,0,Post Graduate,"Rs 3,72,400",Rs 0
6695,SRIRAMACHANDRAN,Dharmapuri,IND,0,10th Pass,"Rs 85,500",Rs 0
6696,"STALIN, R.",Perambalur,LJP,0,Graduate,"Rs 4,81,256",Rs 0
6697,STEPHEN GANESHAN S,Coimbatore,Akhila India Jananayaka Makkal Katchi (Dr. Is,0,Graduate,Nil,Rs 0
6698,STEVEN JOHN MENEZES,Udupi Chikmagalur,BSP,0,Graduate,"Rs 50,70,412","Rs 10,00,000"
6699,SUBARNA CHAKRABORTY,Howrah,IND,0,12th Pass,"Rs 1,07,000",Rs 0
6700,SUBBAIAH,Chamarajanagar,IND,0,10th Pass,Nil,Rs 0
6701,SUBHAN KHAN,Davanagere,IND,0,Post Graduate,"Rs 11,40,000",Rs 0
6702,SUBHANBHAI POPATBHAI MULTANI,Rajkot,IND,1,10th Pass,"Rs 5,19,000",Rs 0
6703,SUBHANUR RAHMAN,Sambhal,IND,0,Literate,"Rs 9,70,000","Rs 2,00,000"
6704,SUBHASH,Hardwar,MKD,0,Graduate,"Rs 92,94,000",Rs 0
6705,SUBHASH,Faridabad,RWS,0,12th Pass,"Rs 7,14,000",Rs 0
6706,SUBHASH BAPURAO WANKHEDE,Hingoli,SHS,4,10th Pass,"Rs 34,88,000","Rs 4,84,000"
6707,SUBHASH CHANDER,Jaipur Rural,IND,0,10th Pass,"Rs 21,99,775","Rs 14,78,478"
6708,Subhash Chandra Barman,Balurghat,BJP,0,Graduate,"Rs 30,14,000","Rs 6,20,540"
6709,Subhash Chandra Mourya,Bastar,IND,0,Graduate,"Rs 1,10,000",Rs 0
6710,SUBHASH FAKIRA SALVE,Jalna,ANC,0,Graduate,"Rs 1,69,030",Rs 0
6711,SUBHASH KISANRAO PATIL (JADHAV),Aurangabad,IND,4,5th Pass,"Rs 62,46,207","Rs 7,92,900"
6712,SUBHASH MAHARIA,Sikar,BJP,0,Graduate,"Rs 2,33,83,778","Rs 54,00,170"
6713,SUBHASH MAHENDRA,Kurukshetra,IND,0,Graduate,"Rs 64,25,000",Rs 0
6714,SUBHASH PARSHURAM KHANVILKAR,Mumbai North,IND,0,10th Pass,"Rs 8,17,500","Rs 2,00,000"
6715,SUBHASH PASWAN,Jamui,STPI,0,Graduate,"Rs 91,000",Rs 0
6716,SUBHASH SHUKLA,Chhindwara,IND,0,10th Pass,"Rs 3,000",Rs 0
6717,SUBHASH TIPPANNA NELGE,Bidar,JD(S),0,10th Pass,"Rs 1,49,60,78,273","Rs 10,94,91,079"
6718,SUBIMAL SENGUPTA,Krishnanagar,CPI(ML)(L),0,Not Given,Nil,Rs 0
6719,Subir Deb,Silchar,IND,0,12th Pass,"Rs 3,82,667",Rs 0
6720,SUBIR KUMAR MAJHI,Arambag,JDP,0,10th Pass,"Rs 68,664","Rs 1,35,000"
6721,SUBLAKSHMAN SHARMA,Firozpur,IND,0,10th Pass,"Rs 42,000",Rs 0
6722,SUBODH,Farrukhabad,AD,0,Not Given,"Rs 5,22,500",Rs 0
6723,SUBODH GIRDHARI RANJAN,Mumbai North,IND,0,12th Pass,"Rs 10,22,045",Rs 0
6724,SUBODH KANT SAHAY,Ranchi,INC,1,Graduate,"Rs 2,71,79,918",Rs 0
6725,SUBODH ROY,Bhagalpur,CPM,0,Graduate,"Rs 9,80,736",Rs 0
6726,SUBRAHMANYA KUMAR KUNTIKANAMATA,Dakshina Kannada,IND,0,Post Graduate,"Rs 9,52,000",Rs 0
6727,SUBRAMANI G,Arani,IND,0,10th Pass,"Rs 2,17,000",Rs 0
6728,SUBRAMANI P,Arani,IND,0,5th Pass,"Rs 7,60,000",Rs 0
6729,SUBRAMANI.S,Namakkal,IND,0,10th Pass,"Rs 4,55,500",Rs 0
6730,SUBRAMANIAM.K,Erode,IND,0,8th Pass,"Rs 5,00,000",Rs 0
6731,SUBRAMANIAM.R.P,Namakkal,IND,0,Others,"Rs 41,25,000",Rs 0
6732,SUBRAMANIAN R,Dindigul,IND,0,10th Pass,"Rs 50,000",Rs 0
6733,SUBRAMANIYAN N,Arani,ADMK,0,5th Pass,"Rs 29,60,000",Rs 0
6734,SUBRAT PATHAK,Kannauj,BJP,0,Graduate,"Rs 1,01,72,404","Rs 4,68,672"
6735,SUBRATA BHOWMIK,Tripura West,IND,0,Post Graduate,"Rs 18,88,000",Rs 0
6736,SUBRATA BOSE,Barasat,IND,0,8th Pass,"Rs 7,62,000",Rs 0
6737,Subrata Mukherjee,Bankura,INC,0,Post Graduate,"Rs 18,94,341",Rs 0
6738,SUBRATA SENGUPTA,Barrackpur,CPI(ML)(L),0,Graduate,Nil,Rs 0
6739,SUBU KECHI,Arunachal West,IND,2,Graduate Professional,"Rs 1,000",Rs 0
6740,SUCHARU RANJAN HALDAR,Ranaghat,AITC,0,Post Graduate,"Rs 1,08,82,896",Rs 0
6741,Sudam Marndi,Mayurbhanj,JMM,5,12th Pass,"Rs 58,56,359","Rs 14,39,091"
6742,SUDAMA PRASAD,Hoshangabad,IND,0,Literate,"Rs 12,04,465",Rs 0
6743,Sudama Prasad,Buxar,CPI(ML)(L),1,Graduate,"Rs 84,757",Rs 0
6744,SUDARSHAN MANNA,Howrah,STPI,0,10th Pass,"Rs 5,75,488",Rs 0
6745,SUDARSHAN SINGH,West Delhi,IND,4,12th Pass,"Rs 46,09,440","Rs 9,33,258"
6746,Sudershan Bhagat,Lohardaga,BJP,0,Graduate,"Rs 30,93,207","Rs 2,36,750"
6747,SUDESH,Rohtak,RPI,0,10th Pass,"Rs 23,20,000",Rs 0
6748,SUDESH G.M.,Davanagere,Akhila India Jananayaka Makkal Katchi (Dr. Is,0,10th Pass,"Rs 90,000","Rs 2,50,000"
6749,SUDESH K AGGARWAL,Rohtak,IND,0,Post Graduate,"Rs 8,72,96,038","Rs 2,82,291"
6750,SUDESH SHARMA,Tehri Garhwal,AD,0,12th Pass,"Rs 77,000","Rs 3,42,000"
6751,SUDHA RAI,Ghosi,INC,0,Doctorate,"Rs 1,03,66,720","Rs 4,77,000"
6752,SUDHA SINGH,Bulandshahr,RPI,0,Graduate,"Rs 26,53,500",Rs 0
6753,SUDHAKAR VYANKAT RAMTEKE (MAJI SAINIK),Amravati,IND,0,10th Pass,"Rs 12,07,000","Rs 50,500"
6754,SUDHANGSHU DAS,Karimganj,BJP,0,Graduate,"Rs 17,52,528",Rs 0
6755,SUDHARSAN.M.S,Tiruvallur,JD(U),1,10th Pass,"Rs 17,000",Rs 0
6756,SUDHIR GANDOTRA,New Delhi,THPI,0,12th Pass,"Rs 45,77,798","Rs 6,54,651"
6757,SUDHIR KUMAR,New Delhi,BPD,0,Graduate Professional,"Rs 25,50,000",Rs 0
6758,Sudhir Kumar Murmu,Bankura,CPI(ML)(L),0,10th Pass,"Rs 40,000","Rs 2,00,000"
6759,SUDHIR NANDAN SARAN,Meerut,IND,0,Graduate,"Rs 2,08,847","Rs 38,215"
6760,SUDHIR SHANKAR PARDESHI,Mumbai North Central,IND,0,Literate,"Rs 1,05,000",Rs 0
6761,SUDHIR SINGH TOMAR,Satna,INC,1,Post Graduate,"Rs 40,78,120","Rs 7,00,836"
6762,SUDHIRBHAI REVASHANKAR JOSHI,Rajkot,CPI(ML)(L),0,Graduate,"Rs 21,57,050",Rs 0
6763,SUDHISH L K,Kallakurichi,DMDK,0,Graduate,"Rs 6,03,13,713","Rs 80,43,273"
6764,SUDIN CHATTOPADHYAY,Barasat,AIFB,0,Post Graduate,"Rs 1,63,40,626","Rs 46,846"
6765,Sudini Jaipal Reddy,Chevella,INC,0,Post Graduate,"Rs 5,61,50,333","Rs 20,42,919"
6766,SUDIP BANDYOPADHYAY,Kolkata Uttar,AITC,0,Graduate,"Rs 41,87,479","Rs 1,96,283"
6767,SUDIP ROY BARMAN,Tripura West,INC,0,Graduate Professional,"Rs 83,27,309","Rs 59,319"
6768,Sugan Mahto,Chatra,BSP,0,10th Pass,"Rs 2,22,000","Rs 25,000"
6769,SUGANDHA RAJE URS,Bangalore South,IND,0,Graduate,"Rs 57,44,734",Rs 0
6770,SUGAVANAM. E.G.,Krishnagiri,DMK,3,12th Pass,"Rs 1,69,74,157","Rs 5,00,000"
6771,SUGUMAR.K,Pollachi,ADMK,0,Graduate,"Rs 2,13,20,000","Rs 1,91,027"
6772,SUHAIL AHMED KHAN,Chandni Chowk,SP,0,Not Given,"Rs 22,24,000",Rs 0
6773,SUHAS BHIKURAM TAMBE,Mumbai North Central,IND,0,12th Pass,"Rs 42,02,000","Rs 1,95,000"
6774,SUJAN CHAKRABORTY,Jadavpur,CPM,0,Post Graduate,"Rs 25,44,611",Rs 0
6775,SUJAN SINGH BUNDELA,Jhansi,RSMD,0,Not Given,"Rs 11,57,70,215","Rs 2,60,536"
6776,SUJATA IBRAHIM TADAVI,Raver,IND,0,10th Pass,"Rs 15,000","Rs 90,000"
6777,SUJIT KUMAR,Ghosi,IND,4,Graduate,"Rs 5,01,182",Rs 0
6778,SUJIT KUMAR BHAGAT,Ujiarpur,IND,0,12th Pass,"Rs 5,50,225",Rs 0
6779,SUJIT SAHU,Jorhat,IND,0,Post Graduate,"Rs 60,000",Rs 0
6780,SUJITH KUMAR C,Nilgiris,IND,0,8th Pass,"Rs 1,40,000",Rs 0
6781,SUKABHAI MANGABHAI RATHOD,Bardoli,IND,0,Literate,"Rs 45,000",Rs 0
6782,SUKALYAN RAY,Ranaghat,BJP,0,Graduate,"Rs 15,20,000",Rs 0
6783,SUKDEO PASWAN,Araria,IND,1,10th Pass,"Rs 2,02,16,835","Rs 9,03,414"
6784,SUKH LAL GURJAR,Rajsamand,IND,0,10th Pass,"Rs 5,02,000",Rs 0
6785,SUKH RAM JONKO,Singhbhum,JDP,0,12th Pass,"Rs 8,43,000",Rs 0
6786,SUKHBIR SINGH,Sonipat,NCP,0,Post Graduate,"Rs 2,46,77,007",Rs 0
6787,SUKHBIR SINGH,Faridabad,IND,0,8th Pass,"Rs 82,55,000",Rs 0
6788,SUKHBIR SINGH JAUNAPURIA,Jaipur Rural,IND,1,12th Pass,"Rs 6,74,43,587",Rs 0
6789,SUKHDA MISHRA,Kanpur,BSP,0,Graduate,"Rs 4,61,79,000","Rs 15,83,789"
6790,SUKHDEO LOHRA,Lohardaga,IND,0,Graduate,"Rs 15,15,000",Rs 0
6791,SUKHDEV SINGH,Sangrur,IND,0,Graduate,"Rs 72,11,443",Rs 0
6792,SUKHDEV SINGH,Sangrur,IND,0,Not Given,"Rs 3,50,000",Rs 0
6793,SUKHDEV SINGH,Fatehgarh Sahib,INC,0,10th Pass,"Rs 1,70,83,247",Rs 0
6794,SUKHDEV SINGH DHINDSA,Sangrur,SAD,0,Graduate,"Rs 3,11,00,235",Rs 0
6795,SUKHDEVSINH PARBATSINH VAGHELA,Gandhinagar,IND,0,Graduate,"Rs 8,54,722","Rs 45,000"
6796,SUKHENDRA PRATAP,Rewa,IND,0,12th Pass,"Rs 4,85,000",Rs 0
6797,SUKHJINDER SINGH,Sangrur,IND,0,Not Given,"Rs 55,000",Rs 0
6798,SUKHLAL KUSHWAHA,Satna,BSP,0,Graduate,"Rs 44,95,000",Rs 0
6799,SUKHMENDER SINGH,West Delhi,RPI(A),0,Not Given,"Rs 20,000",Rs 0
6800,SUKHNAYAN,Lalganj,IND,0,12th Pass,"Rs 1,95,000",Rs 0
6801,SUKHRAJ,Jalore,IND,0,Not Given,"Rs 4,64,62,510","Rs 5,95,000"
