Sno,Candidate?,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
2324,HAJI MOHAMMAD AZAM,Rajampet,IND,0,10th Pass,"Rs 30,00,000",Rs 0
2325,HAJI MOHAMMED TAUSEEF,Saharanpur,PECP,1,Graduate,"Rs 2,17,90,000",Rs 0
2326,HAJI NISAR AHMED CHOUDHARY,Mandsour,IND,0,Not Given,"Rs 30,508",Rs 0
2327,HAJI NOORULLA,Khandwa,LJP,2,5th Pass,"Rs 11,93,002",Rs 0
2328,HAJI RASHID HUSAIN,Sambhal,MUL,0,5th Pass,"Rs 64,90,801","Rs 10,07,702"
2329,HAJI ZAKIR HUSSAIN DURRANY ENGINEER,Khandwa,CPI,0,Post Graduate,"Rs 17,50,000","Rs 6,00,000"
2330,HAKARU,Banswara,BJP,3,8th Pass,"Rs 60,48,400","Rs 4,05,900"
2331,HAKE BHANUDAS KISAN,Ahmednagar,RSPS,0,Graduate Professional,"Rs 6,58,527",Rs 0
2332,HAKEEM KHAN,Hamirpur,BAP,0,8th Pass,"Rs 14,48,000","Rs 80,000"
2333,HAKIM SINGH YADAV,Mainpuri,CPI,0,Graduate Professional,"Rs 41,75,000","Rs 1,20,000"
2334,Haldharram Sidar,Raigarh,IND,0,Graduate,"Rs 10,25,000","Rs 85,156"
2335,Hamsa Kalapparambath,Chalakudy,IND,0,5th Pass,"Rs 12,12,000",Rs 0
2336,HAMZA KHAN,South Goa,IND,0,10th Pass,"Rs 80,000","Rs 23,000"
2337,Hanaji Ashok Pandu,Belgaum,IND,0,12th Pass,"Rs 1,50,000",Rs 0
2338,Handi Rafiqsab,Koppal,IND,0,8th Pass,"Rs 4,27,658",Rs 0
2339,HANMANTE VIJAY CHANDRAO,Nanded,IND,0,Literate,"Rs 10,000",Rs 0
2340,HANMANTSA CHANDRAKANTSA NIRANJAN,Dharwad,JD(U),0,Graduate,"Rs 93,95,000","Rs 13,46,000"
2341,HANNAN MOLLAH,Uluberia,CPM,0,Post Graduate,"Rs 62,08,199",Rs 0
2342,HANS KUMAR,Mirzapur,IND,1,Not Given,"Rs 1,25,000",Rs 0
2343,HANS RAJ,Sirsa,RPI,0,12th Pass,"Rs 5,000",Rs 0
2344,HANS RAJ HANS,Jalandhar,SAD,0,12th Pass,"Rs 10,78,39,878","Rs 16,04,586"
2345,HANS RAJ PABWAN,Jalandhar,IND,0,Graduate,"Rs 50,000",Rs 0
2346,HANSRAJ,Bhiwani-Mahendragarh,RPI,0,12th Pass,"Rs 5,000",Rs 0
2347,HANUMAN,Maharajganj,IND,0,Not Given,"Rs 6,47,860",Rs 0
2348,HANUMAN RAM,Ganganagar,IND,0,12th Pass,"Rs 8,000",Rs 0
2349,HANUMAN SAHAI BUNKAR,Sikar,IND,0,Graduate Professional,"Rs 65,96,500","Rs 10,00,000"
2350,HANUMANTHAPPA TEGNOOR,Chitradurga,IND,0,Graduate,"Rs 1,82,39,203","Rs 4,11,158"
2351,Hanumanthu,Nagarkurnool,IND,0,10th Pass,"Rs 15,63,000","Rs 23,000"
2352,HAR GOBIND ARORA,West Delhi,IND,0,Graduate,"Rs 54,45,000","Rs 2,50,200"
2353,HAR SWAROOP SHARMA,Moradabad,RSMD,0,Post Graduate,"Rs 65,15,500","Rs 17,30,000"
2354,HARBANS LAL,North West Delhi,IND,0,8th Pass,"Rs 13,45,258",Rs 0
2355,HARBANS SINGH SODHI,Ludhiana,IND,0,Post Graduate,"Rs 37,64,978",Rs 0
2356,HARBHAJAN JANGRE,Vidisha,LJP,0,Literate,"Rs 1,06,000",Rs 0
2357,HARDEV SINGH,Bathinda,IND,0,Illiterate,"Rs 1,08,800",Rs 0
2358,HARDEV SINGH ARSHI,Bathinda,CPI,0,Graduate,"Rs 45,20,665",Rs 0
2359,HARE RAM FAUJI,Sitapur,JPS,0,Not Given,"Rs 17,60,000",Rs 0
2360,Harekrishna Sarkar,Coochbehar,RPI,0,Post Graduate,"Rs 1,37,558","Rs 1,40,135"
2361,HARENDER,New Delhi,RKJP,0,Graduate,"Rs 4,60,630",Rs 0
2362,HARENDRA KUMAR,Bahraich,JPS,0,Post Graduate,"Rs 23,500",Rs 0
2363,HARENDRA KUMAR PATEL,Pataliputra,BSP,0,10th Pass,"Rs 52,03,000",Rs 0
2364,HARENDRA SINGH BURMAN,Aligarh,LPSP,0,Post Graduate,"Rs 15,11,000",Rs 0
2365,HARGOVIND RAWAT (PASI),Sitapur,IND,0,12th Pass,"Rs 20,11,386",Rs 0
2366,HARGOVIND SINGH,Jaipur,JGP,0,Graduate Professional,"Rs 1,45,000",Rs 0
2367,Hargun Meghwani,Raipur,Akhil Bhartiya Sindhu Samajwadi Party,0,Graduate,"Rs 17,25,893",Rs 706
2368,HARI KRISHNAN S,Tiruvannamalai,IND,0,Not Given,"Rs 2,01,000",Rs 0
2369,HARI LAL,Chandauli,IND,0,8th Pass,"Rs 1,80,000",Rs 0
2370,HARI LAL KALAL,Pali,IND,0,Post Graduate,"Rs 56,37,245","Rs 4,81,270"
2371,Hari Manjhi,Gaya,BJP,0,8th Pass,"Rs 14,71,374","Rs 3,89,075"
2372,HARI MITTER,Jalandhar,IND,0,5th Pass,"Rs 51,500",Rs 0
2373,HARI NANDAN SINGH,Khagaria,Samajwadi Janata Party (Rashtriya),0,Graduate,"Rs 6,57,000",Rs 0
2374,HARI NARAYAN,Sultanpur,IND,0,Graduate Professional,"Rs 27,55,000",Rs 0
2375,HARI OM,Moradabad,IND,0,12th Pass,"Rs 1,00,597",Rs 0
2376,Hari Prasad Singh,Karakat,IND,0,Literate,"Rs 41,50,000",Rs 0
2377,HARI PRASAD SONKAR,Lalganj,CPI,0,Literate,"Rs 1,32,569",Rs 0
